,mandante,visitante,odds_mandante,odds_empate,odds_visitante
0,Grêmio,Fluminense,2.26,3.09,3.51
1,Athletico-PR,Ceará,1.98,3.29,4.13
2,Atlético-MG,Corinthians,1.62,3.77,6.08
3,Santos,Bragantino,2.54,3.18,2.96
4,Palmeiras,Atlético-GO,1.5,4.14,6.91
5,Juventude,Internacional,3.25,3.08,2.39
6,Fortaleza,São Paulo,2.46,3.1,3.11
7,Sport,América-MG,2.96,3.1,2.55
8,Flamengo,Bahia,1.39,4.92,7.88
