,mandante,visitante,odds_mandante,odds_empate,odds_visitante
0,Corinthians,Bahia,1.81,3.51,4.59
1,Atlético-GO,Athletico-PR,2.68,3.08,2.8
2,Ceará,Internacional,2.94,3.13,2.52
3,Chapecoense,Atlético-MG,7.29,4.06,1.49
4,Sport,Juventude,2.62,3.0,2.93
5,Bragantino,Flamengo,3.68,3.51,2.03
6,América-MG,Palmeiras,3.32,3.32,2.23
7,Fluminense,Fortaleza,2.32,3.15,3.24
8,Grêmio,Cuiabá,1.75,3.41,5.24
9,São Paulo,Santos,2.03,3.3,4.06
10,Bahia,Ceará,2.35,3.1,3.1
11,Santos,Fluminense,2.71,3.06,2.82
