,scout,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,slug,apelido,apelido_abreviado,nome,foto,status
467,{},106219,10,293,4,6,0.0,1.0,0.0,0.0,0,kawan,Kawan,Kawan,Kawan Gabriel da Silva,https://s.glbimg.com/es/sde/f/2019/09/08/a8fc75a1bedde47f33857a4a2b460b64_FORMATO.png,Nulo
468,"{'A': 2, 'DS': 8, 'FC': 8, 'FD': 3, 'FF': 8, 'FS': 15, 'FT': 1, 'I': 1, 'PI': 45, 'PS': 3}",97450,10,264,5,7,3.0,7.79,-0.41,3.61,9,gustavo-mosquito,Gustavo Mosquito,G. Mosquito,Gustavo Henric da Silva,https://s.glbimg.com/es/sde/f/2020/08/20/81a5c782b9fc85b4c16836aa362f34b8_FORMATO.png,Provável
469,"{'A': 4, 'CA': 3, 'DS': 36, 'FC': 11, 'FD': 5, 'FF': 13, 'FS': 25, 'G': 1, 'I': 1, 'PI': 58}",103099,10,356,4,3,17.3,14.4,1.86,7.51,10,ederson,Éderson,Éderson,Éderson José dos Santos Lourenço da Silva,https://s.glbimg.com/es/sde/f/2021/05/05/16c28b7f820021c231cfb80d673b50f4_FORMATO.png,Suspenso
470,"{'DE': 3, 'GS': 1}",68873,10,284,1,6,0.0,3.54,0.0,2.0,1,paulo-victor,Paulo Victor,P. Victor,Paulo Victor Mileo Vidotti,https://s.glbimg.com/es/sde/f/2021/04/29/6c063d62ada9bfaad29b01cc4087ac6c_FORMATO.png,Nulo
471,"{'CA': 1, 'DS': 17, 'FC': 12, 'FF': 1, 'FS': 4, 'I': 1, 'PI': 60, 'SG': 1}",70916,10,284,2,6,-0.2,4.46,-0.23,1.47,7,diogo-barbosa,Diogo Barbosa,D. Barbosa,Diogo Barbosa Mendanha,https://s.glbimg.com/es/sde/f/2021/04/29/4c99f41521a3781b877427b250ae0542_FORMATO.png,Nulo
472,"{'CA': 1, 'DS': 4, 'FC': 4, 'FD': 3, 'FS': 14, 'I': 1, 'PC': 1, 'PI': 25}",84523,10,356,5,6,-0.1,3.77,-0.13,0.66,10,romarinho,Romarinho,Romarinho,José Romário Silva de Souza,https://s.glbimg.com/es/sde/f/2021/05/05/f799d8a5c17c40c35143b29a0129c1c3_FORMATO.png,Nulo
473,{},97879,10,293,4,6,0.0,2.0,0.0,0.0,0,matheus-anjos,Matheus Anjos,M. Anjos,Matheus Aleksander dos Anjos,https://s.glbimg.com/es/sde/f/2021/04/14/dcef5a4b50a68015ff5617a0cb582b06_FORMATO.png,Nulo
474,"{'DS': 2, 'FF': 1, 'PI': 1}",112060,10,354,5,6,0.0,2.58,0.0,2.7,1,joao-victor,João Victor,J. Victor,João Victor Vieira Ferreira Sousa,https://s.glbimg.com/es/sde/f/2021/05/24/c908392c2c080c709d4f8f7016d8bdbc_FORMATO.png,Nulo
475,{},107195,10,293,5,6,0.0,1.0,0.0,0.0,0,jaja,Jajá,Jajá,Jair Diego Alves de Brito,https://s.glbimg.com/es/sde/f/2020/02/28/d7b228fb1f0473cd8f5e68c71f5f2a95_FORMATO.png,Nulo
476,"{'DS': 1, 'FS': 1, 'PI': 4}",98952,10,264,5,6,0.0,3.11,0.0,0.37,3,leo-natel,Léo Natel,L. Natel,Leonardo Natel Vieira,https://s.glbimg.com/es/sde/f/2020/07/21/75fe8f637b732326ab10856c62020124_FORMATO.png,Nulo
