,clube,P
0,Atlético-MG,72.41469143115391
1,Flamengo,65.58282147039225
2,Palmeiras,63.70990827015472
3,Corinthians,58.45556267757519
4,Fortaleza,56.75672492710503
5,Bragantino,56.46501660948189
6,Internacional,54.22446340243535
7,Fluminense,52.80890976484224
8,América-MG,48.829209526618946
9,Ceará,48.01769107526949
10,Athlético-PR,47.96439893454386
11,Atlético-GO,44.86707752688142
12,São Paulo,44.41451618509778
13,Santos,43.93983733707776
14,Bahia,42.10457292747681
15,Cuiabá,41.075201449253115
16,Juventude,41.04958372774286
17,Sport,36.66068663057096
18,Grêmio,34.59855552293394
19,Chapecoense,22.183606130750356
