,clube,P,GP,GC,SG,Fase,ranking
0,Atlético-MG,78,59,27,32,13,1
1,Flamengo,65,62,29,33,9,2
2,Palmeiras,60,55,42,13,5,3
3,Corinthians,57,40,35,5,7,4
4,Bragantino,52,53,44,9,4,5
5,Fortaleza,52,41,44,-3,3,6
6,Fluminense,50,34,35,-1,6,7
7,Ceará,49,37,34,3,8,8
8,Internacional,47,43,40,3,1,9
9,América-MG,46,36,37,-1,3,10
10,Santos,46,32,39,-7,10,11
11,São Paulo,45,31,34,-3,9,12
12,Atlético-GO,43,26,30,-4,5,13
13,Cuiabá,42,31,33,-2,7,14
14,Bahia,42,37,43,-6,7,15
15,Athlético-PR,41,37,42,-5,1,16
16,Juventude,38,32,41,-9,3,17
17,Sport,36,22,35,-13,6,18
18,Grêmio,33,33,44,-11,7,19
19,Chapecoense,15,27,60,-33,0,20
