,clube,Média Geral,Ranking Geral,Média Mandante,Ranking Mandantes,Média Visitante,Ranking Visitantes
0,Flamengo,62.49333333333333,1,52.51333333333332,3,77.36500000000001,1
1,Internacional,61.50833333333333,2,45.13166666666666,8,55.23666666666667,3
2,Atlético-MG,55.54500000000001,3,64.68833333333333,1,48.22,8
3,Cuiabá,47.635,4,30.273333333333337,18,49.90833333333333,5
4,Corinthians,47.18166666666667,5,43.92666666666667,9,48.925000000000004,7
5,América-MG,46.654999999999994,6,48.49166666666665,6,37.33833333333333,14
6,Atlético-GO,45.01666666666667,7,23.034999999999997,20,49.67166666666666,6
7,Bragantino,44.89000000000001,8,43.145,10,60.779999999999994,2
8,Ceará,43.928333333333335,9,51.20000000000001,4,42.51166666666667,12
9,Santos,40.583333333333336,10,42.364999999999995,12,32.31,15
10,Fortaleza,39.453333333333326,11,63.491666666666674,2,42.92666666666667,11
11,Sport,38.56333333333333,12,31.16333333333333,17,43.70666666666667,10
12,Grêmio,36.656666666666666,13,46.00833333333333,7,25.40166666666667,18
13,Fluminense,36.165,14,39.218333333333334,15,38.60166666666667,13
14,Juventude,35.61833333333333,15,42.41833333333333,11,21.94333333333333,20
15,Palmeiras,34.818333333333335,16,50.72833333333333,5,50.20000000000001,4
16,São Paulo,33.50833333333333,17,40.18333333333334,13,47.326666666666675,9
17,Chapecoense,30.49,18,28.873333333333335,19,31.743333333333336,16
18,Bahia,29.968333333333334,19,37.50833333333333,16,28.423333333333336,17
19,Athlético-PR,27.2,20,39.56499999999999,14,23.253333333333334,19
