,clube,Média Geral,Ranking Geral,Média Mandante,Ranking Mandantes,Média Visitante,Ranking Visitantes
0,Internacional,60.61833333333334,1,68.89,1,63.11000000000001,1
1,Flamengo,57.655,2,60.98333333333334,3,59.25666666666667,2
2,Atlético-MG,56.673333333333325,3,67.30833333333332,2,46.02,5
3,Bahia,48.67166666666666,4,34.23500000000001,15,37.42333333333333,12
4,Athlético-PR,47.526666666666664,5,41.72666666666667,9,34.673333333333325,14
5,Corinthians,45.18166666666667,6,47.96333333333333,7,44.4,8
6,Palmeiras,45.01666666666666,7,33.50833333333333,16,42.544999999999995,10
7,Ceará,44.23666666666667,8,55.79999999999999,4,32.365,15
8,América-MG,44.008333333333326,9,53.89166666666667,5,45.935,6
9,Bragantino,42.873333333333335,10,31.346666666666675,19,45.345,7
10,Sport,41.928333333333335,11,40.81999999999999,10,38.98166666666666,11
11,Fortaleza,41.220000000000006,12,32.74666666666667,18,46.945,4
12,Atlético-GO,40.58166666666666,13,33.345,17,47.32666666666666,3
13,Fluminense,40.38333333333333,14,46.11000000000001,8,30.438333333333333,17
14,Juventude,38.019999999999996,15,37.565,12,28.491666666666664,19
15,Santos,35.27333333333333,16,37.21833333333333,14,29.075000000000003,18
16,São Paulo,34.74333333333333,17,37.306666666666665,13,30.945000000000004,16
17,Grêmio,34.34499999999999,18,50.528333333333336,6,26.254999999999995,20
18,Cuiabá,33.91,19,38.945,11,42.6,9
19,Chapecoense,28.346666666666675,20,29.363333333333333,20,36.545,13
