,clube,P,GP,GC,SG,Fase,ranking
0,Atlético-MG,39,27,13,14,11,1
1,Palmeiras,35,29,20,9,4,2
2,Fortaleza,33,27,16,11,6,3
3,Bragantino,32,29,19,10,8,4
4,Flamengo,31,32,16,16,10,5
5,Corinthians,27,17,15,2,10,6
6,Atlético-GO,25,14,15,-1,7,7
7,Ceará,24,19,19,0,5,8
8,Athlético-PR,23,23,21,2,0,9
9,Internacional,23,22,22,0,9,10
10,Santos,22,19,23,-4,6,11
11,São Paulo,22,15,20,-5,11,12
12,Fluminense,21,15,18,-3,4,13
13,Juventude,21,14,19,-5,5,14
14,Cuiabá,18,15,16,-1,9,15
15,América-MG,18,15,22,-7,8,16
16,Bahia,18,20,30,-10,1,17
17,Sport,16,8,14,-6,5,18
18,Grêmio,13,11,18,-7,6,19
19,Chapecoense,7,14,29,-15,3,20
