,mandante,visitante,prob_vitoria_mandante,prob_empate,prob_vitoria_visitante,prob_sg_mandante,prob_sg_visitante
0,Athlético-PR,Santos,51.00197188779185,27.468644388355894,21.52935598177695,44.85928901483401,24.742043678571758
1,Flamengo,Atlético-MG,35.68939934375271,27.988759505011103,36.321830916754315,30.64010654399097,31.038748645332692
2,Juventude,Bahia,38.9382234671019,28.023583718087565,33.0381820484613,32.98107611963627,29.24091173922892
3,América-MG,Fortaleza,30.836310988730485,28.872523188568543,40.29115847667521,30.12171193157772,36.37139977201353
4,Grêmio,Palmeiras,28.8267173453415,28.158785176043153,43.01448456126089,27.745342977480785,36.970725476353195
5,Ceará,Fluminense,31.912053775440807,36.312443040635145,31.775503053645256,46.600308505871816,46.49114094069088
6,São Paulo,Internacional,27.32440958732969,31.98631201954448,40.6892766638112,35.03299455657262,44.891990158336974
7,Sport,Atlético-GO,21.441685341210583,47.29663284939832,31.261681807007857,57.44873158548175,66.36971304242891
8,Cuiabá,Bragantino,29.4368295319397,28.68143530614626,41.88172606700717,29.102489753796355,37.32603575715372
9,Corinthians,Chapecoense,60.734294174785994,23.987368895816903,15.278188882556096,49.991918092878976,18.957401251681222
