,clube,ranking_clube,fase
0,Palmeiras,1,100.0
1,Atlético-MG,3,80.0
2,Fortaleza,4,66.67
3,Bragantino,2,60.0
4,Athlético-PR,5,53.33
5,São Paulo,14,53.33
6,Fluminense,7,53.33
7,América-MG,16,46.67
8,Ceará,11,46.67
9,Juventude,13,46.67
10,Santos,9,46.67
11,Bahia,6,40.0
12,Corinthians,12,40.0
13,Flamengo,8,40.0
14,Atlético-GO,10,33.33
15,Internacional,15,20.0
16,Cuiabá,18,20.0
17,Sport,17,20.0
18,Grêmio,20,13.33
19,Chapecoense,19,6.67
