,clube,P
0,Atlético-MG,76.5695251211858
1,Flamengo,67.27571245168002
2,Palmeiras,59.9086477633974
3,Corinthians,57.190113365646965
4,Fortaleza,55.70493606086657
5,Bragantino,55.538500287792715
6,Fluminense,54.04640941858236
7,Ceará,51.58504221408705
8,Internacional,50.69860015763266
9,América-MG,46.42807869165946
10,Santos,45.02048739387092
11,Athlético-PR,44.080251881417645
12,São Paulo,43.72467735778651
13,Atlético-GO,42.837768469737355
14,Cuiabá,42.04263292535523
15,Juventude,41.010136961506625
16,Bahia,39.743863346884595
17,Sport,36.0711431873318
18,Grêmio,35.98956247706686
19,Chapecoense,19.0328851365486
