,clube,P,GP,GC,SG,Fase,ranking
0,Atlético-MG,46,32,13,19,8,1
1,Palmeiras,38,33,25,8,6,2
2,Fortaleza,36,30,23,7,4,3
3,Flamengo,35,36,19,17,7,4
4,Bragantino,33,32,24,8,2,5
5,Corinthians,33,22,19,3,9,6
6,Internacional,32,26,22,4,10,7
7,Fluminense,31,23,23,0,13,8
8,Athlético-PR,30,29,26,3,7,9
9,Ceará,28,20,21,-1,4,10
10,Atlético-GO,27,16,18,-2,3,11
11,Cuiabá,26,21,20,1,9,12
12,São Paulo,26,18,23,-5,5,13
13,Juventude,25,20,24,-4,5,14
14,Santos,24,20,28,-8,2,15
15,América-MG,23,19,24,-5,8,16
16,Bahia,23,25,35,-10,5,17
17,Grêmio,19,16,22,-6,6,18
18,Sport,17,8,19,-11,2,19
19,Chapecoense,10,17,35,-18,4,20
