,clube,P,GP,GC,SG,Fase,ranking
0,Atlético-MG,59,44,21,23,9,1
1,Flamengo,49,48,24,24,10,2
2,Palmeiras,49,43,34,9,10,3
3,Fortaleza,48,39,32,7,9,4
4,Bragantino,45,43,32,11,10,5
5,Corinthians,44,31,26,5,7,6
6,Internacional,40,36,30,6,7,7
7,Fluminense,38,27,28,-1,7,8
8,América-MG,37,29,30,-1,8,9
9,Atlético-GO,37,23,24,-1,7,10
10,Ceará,35,25,27,-2,6,11
11,São Paulo,35,23,27,-4,7,12
12,Cuiabá,34,26,26,0,7,13
13,Athlético-PR,34,32,37,-5,1,14
14,Bahia,32,31,38,-7,9,15
15,Santos,32,24,34,-10,7,16
16,Sport,30,17,24,-7,7,17
17,Juventude,29,26,35,-9,3,18
18,Grêmio,23,23,35,-12,3,19
19,Chapecoense,13,24,50,-26,1,20
