,clube,P
0,Atlético-MG,76.4578585935202
1,Flamengo,68.7617896906197
2,Palmeiras,60.76050051874391
3,Corinthians,58.64194178858171
4,Fortaleza,56.575193650415294
5,Bragantino,56.547361013992266
6,Fluminense,52.60576937761328
7,Internacional,51.80566215381761
8,Ceará,49.771710677354434
9,América-MG,47.87903532604049
10,Athlético-PR,45.12706461237818
11,São Paulo,44.7748757509502
12,Atlético-GO,44.209546703314544
13,Santos,43.862742016377005
14,Cuiabá,43.046793136472196
15,Juventude,42.02981418207902
16,Bahia,41.02486777697472
17,Grêmio,37.63219479274591
18,Sport,37.25247696381308
19,Chapecoense,20.208981654714176
