,apelido,atleta_id,clube,posicao,media_casa,media_fora,adversário,mando,media_cedidos,XP_visitante
1465,Gabriel,83257,Flamengo,ATA,-1.65,16.3,Ceará,visitante,2.5,9.4
1466,Rafael Luiz,107543,Bragantino,LAT,1.15,10.2,América-MG,visitante,6.0625,8.13125
1467,Luan Cândido,100848,Bragantino,LAT,5.35,7.9,América-MG,visitante,6.0625,6.98125
1468,Gilberto,61188,Bahia,ATA,4.2444444444444445,6.999999999999999,Grêmio,visitante,6.214285714285714,6.607142857142857
1469,Aderlan,88423,Bragantino,LAT,4.566666666666666,7.12,América-MG,visitante,6.0625,6.5912500000000005
1470,Raul,92496,Bragantino,MEI,2.8000000000000003,6.840000000000001,América-MG,visitante,6.0625,6.45125
1471,Alerrandro,101715,Bragantino,ATA,1.92,6.8,América-MG,visitante,6.0625,6.43125
1472,Mateus Claus,90590,Bahia,GOL,9.0,0.0,Grêmio,visitante,6.214285714285714,6.214285714285714
1473,Lucas Fonseca,80189,Bahia,ZAG,-0.3,0.0,Grêmio,visitante,6.214285714285714,6.214285714285714
1474,Ronaldo César,111136,Bahia,ATA,0.5,0.0,Grêmio,visitante,6.214285714285714,6.214285714285714
1475,Hulk,39148,Atlético-MG,ATA,8.085714285714285,7.775,Fluminense,visitante,4.583333333333333,6.179166666666667
1476,Júlio César,38133,Bragantino,GOL,0.5,0.0,América-MG,visitante,6.0625,6.0625
1477,Gabriel Novaes,109639,Bragantino,ATA,0.9,0.0,América-MG,visitante,6.0625,6.0625
1478,Hurtado,105301,Bragantino,ATA,-1.7,0.0,América-MG,visitante,6.0625,6.0625
1479,Bruninho,113558,Bragantino,ATA,-0.2,0.0,América-MG,visitante,6.0625,6.0625
1480,Haydar,108385,Bragantino,ZAG,0.5,0.0,América-MG,visitante,6.0625,6.0625
1481,Arboleda,91573,São Paulo,ZAG,3.9000000000000004,7.6,Sport,visitante,4.166666666666667,5.883333333333333
1482,Rodriguinho,61033,Bahia,MEI,1.8666666666666667,5.333333333333333,Grêmio,visitante,6.214285714285714,5.773809523809524
1483,Arrascaeta,87863,Flamengo,MEI,6.74,8.899999999999999,Ceará,visitante,2.5,5.699999999999999
1484,Ramires,103295,Bragantino,MEI,1.0,5.3,América-MG,visitante,6.0625,5.68125
1485,Daniel,96468,Internacional,GOL,3.0,6.642857142857143,Santos,visitante,4.714285714285714,5.678571428571429
1486,Léo Ortiz,97867,Bragantino,ZAG,2.5,5.26,América-MG,visitante,6.0625,5.66125
1487,Maurício Barbieri,82792,Bragantino,TEC,4.14875,5.228571428571428,América-MG,visitante,6.0625,5.645535714285714
1488,Matheus Bahia,97899,Bahia,LAT,4.025,4.8500000000000005,Grêmio,visitante,6.214285714285714,5.5321428571428575
1489,Claudinho,92630,Bragantino,MEI,2.15,5.0,América-MG,visitante,6.0625,5.53125
1490,Realpe,106299,Bragantino,ZAG,-0.19999999999999998,5.0,América-MG,visitante,6.0625,5.53125
1491,Lucas Evangelista,84674,Bragantino,MEI,3.1166666666666667,4.8,América-MG,visitante,6.0625,5.43125
1492,Edenílson,63289,Internacional,MEI,7.6000000000000005,6.1375,Santos,visitante,4.714285714285714,5.425892857142857
1493,Renato Gaúcho,41929,Flamengo,TEC,4.756666666666667,8.06,Ceará,visitante,2.5,5.28
1494,Paulo Victor ,112141,Internacional,LAT,2.966666666666667,5.766666666666666,Santos,visitante,4.714285714285714,5.2404761904761905
1495,Helinho,102598,Bragantino,ATA,3.7714285714285714,4.416666666666667,América-MG,visitante,6.0625,5.239583333333334
1496,Praxedes,107744,Bragantino,MEI,6.824999999999999,4.35,América-MG,visitante,6.0625,5.20625
1497,Patrick,83433,Internacional,MEI,2.085714285714286,5.671428571428572,Santos,visitante,4.714285714285714,5.192857142857143
1498,Cleiton,93882,Bragantino,GOL,3.0,4.285714285714286,América-MG,visitante,6.0625,5.174107142857142
1499,Artur,95799,Bragantino,ATA,7.071428571428572,4.257142857142857,América-MG,visitante,6.0625,5.159821428571428
1500,Lucas Mugni,81121,Bahia,MEI,5.0,4.1,Grêmio,visitante,6.214285714285714,5.157142857142857
1501,Fabrício Bruno,90768,Bragantino,ZAG,2.357142857142857,4.199999999999999,América-MG,visitante,6.0625,5.13125
1502,Nacho Fernández,94916,Atlético-MG,MEI,4.483333333333333,5.533333333333334,Fluminense,visitante,4.583333333333333,5.058333333333334
1503,Saravia,96725,Internacional,LAT,3.3200000000000003,5.18,Santos,visitante,4.714285714285714,4.9471428571428575
1504,Nino Paraíba,68808,Bahia,LAT,2.566666666666667,3.62,Grêmio,visitante,6.214285714285714,4.917142857142857
1505,Juninho,92182,Bahia,ZAG,4.983333333333333,3.5,Grêmio,visitante,6.214285714285714,4.857142857142858
1506,Weverton,104625,Bragantino,LAT,-0.2,3.6,América-MG,visitante,6.0625,4.83125
1507,Guga,101319,Atlético-MG,LAT,2.933333333333333,5.02,Fluminense,visitante,4.583333333333333,4.801666666666666
1508,Gabriel,87393,Atlético-MG,ZAG,2.7,4.925,Fluminense,visitante,4.583333333333333,4.754166666666666
1509,Marcelo Lomba,68872,Internacional,GOL,1.0,0.0,Santos,visitante,4.714285714285714,4.714285714285714
1510,Peglow,106821,Internacional,ATA,-0.7,0.0,Santos,visitante,4.714285714285714,4.714285714285714
1511,Yuri Alberto,100652,Internacional,ATA,2.3428571428571425,4.6375,Santos,visitante,4.714285714285714,4.675892857142857
1512,Everton Ribeiro,51772,Flamengo,MEI,3.08,6.800000000000001,Ceará,visitante,2.5,4.65
1513,Dado Cavalcanti,73975,Bahia,TEC,3.1655555555555552,3.067142857142857,Grêmio,visitante,6.214285714285714,4.640714285714286
1514,Diego Aguirre,73766,Internacional,TEC,4.037999999999999,4.503333333333334,Santos,visitante,4.714285714285714,4.608809523809525
1515,Daniel,93791,Bahia,MEI,0.8999999999999999,3.0,Grêmio,visitante,6.214285714285714,4.607142857142858
1516,Osmar Loss,77552,Internacional,TEC,1.9,4.48,Santos,visitante,4.714285714285714,4.597142857142858
1517,Vargas,69102,Atlético-MG,ATA,3.633333333333333,0.0,Fluminense,visitante,4.583333333333333,4.583333333333333
1518,Franco,39656,Atlético-MG,MEI,0.6,0.0,Fluminense,visitante,4.583333333333333,4.583333333333333
1519,Echaporã,104655,Atlético-MG,ATA,-0.15,0.0,Fluminense,visitante,4.583333333333333,4.583333333333333
1520,Busanello,97537,Chapecoense,LAT,2.86,6.0,Atlético-GO,visitante,3.142857142857143,4.571428571428571
1521,Ytalo,53148,Bragantino,ATA,7.785714285714286,2.971428571428571,América-MG,visitante,6.0625,4.516964285714286
1522,Everson,72294,Atlético-MG,GOL,4.5,4.4375,Fluminense,visitante,4.583333333333333,4.510416666666666
1523,Cuca,42411,Atlético-MG,TEC,5.041250000000001,4.40625,Fluminense,visitante,4.583333333333333,4.494791666666666
1524,Bruno Méndez,103700,Internacional,ZAG,4.475,4.266666666666667,Santos,visitante,4.714285714285714,4.4904761904761905
1525,Carlinhos,63194,Fortaleza,LAT,4.8,6.1,Juventude,visitante,2.8125,4.45625
1526,Luiz Otávio ,86863,Bahia,ZAG,1.875,2.6666666666666665,Grêmio,visitante,6.214285714285714,4.440476190476191
1527,Rodrigo Caio,73800,Flamengo,ZAG,4.6833333333333345,6.3,Ceará,visitante,2.5,4.4
1528,Réver,52253,Atlético-MG,ZAG,3.65,4.18,Fluminense,visitante,4.583333333333333,4.381666666666666
1529,Mariano,38877,Atlético-MG,LAT,4.628571428571429,4.175,Fluminense,visitante,4.583333333333333,4.379166666666666
1530,Igor Rabello,89493,Atlético-MG,ZAG,1.2999999999999998,4.0,Fluminense,visitante,4.583333333333333,4.291666666666666
1531,Pablo,69138,São Paulo,ATA,0.2833333333333334,4.3,Sport,visitante,4.166666666666667,4.233333333333333
1532,Thaciano,87470,Bahia,MEI,4.283333333333333,2.1399999999999997,Grêmio,visitante,6.214285714285714,4.177142857142857
1533,Éderson,103099,Fortaleza,MEI,7.957142857142856,5.5249999999999995,Juventude,visitante,2.8125,4.168749999999999
1534,Bruno Rodrigues,92811,São Paulo,ATA,1.4,0.0,Sport,visitante,4.166666666666667,4.166666666666667
1535,Matheus Teixeira,102907,Bahia,GOL,2.5,2.0833333333333335,Grêmio,visitante,6.214285714285714,4.148809523809524
1536,Taison,62114,Internacional,ATA,2.9000000000000004,3.4333333333333336,Santos,visitante,4.714285714285714,4.073809523809524
1537,Rodrigo Dourado,78865,Internacional,MEI,3.18,3.3833333333333333,Santos,visitante,4.714285714285714,4.048809523809524
1538,Natan,107110,Bragantino,ZAG,1.9285714285714286,2.0,América-MG,visitante,6.0625,4.03125
1539,Borrero,106843,Atlético-MG,MEI,0.6,3.46,Fluminense,visitante,4.583333333333333,4.0216666666666665
1540,Maurício,105647,Internacional,MEI,0.9333333333333332,3.3,Santos,visitante,4.714285714285714,4.007142857142857
1541,Diego,101728,São Paulo,ZAG,3.0749999999999997,3.75,Sport,visitante,4.166666666666667,3.9583333333333335
1542,Cássio,42234,Corinthians,GOL,2.625,6.125,Athlético-PR,visitante,1.7857142857142858,3.955357142857143
1543,Willian Arão,78478,Flamengo,ZAG,2.9444444444444446,5.380000000000001,Ceará,visitante,2.5,3.9400000000000004
1544,Conti,100943,Bahia,ZAG,2.314285714285714,1.5999999999999999,Grêmio,visitante,6.214285714285714,3.907142857142857
1545,Júnior Alonso,88312,Atlético-MG,ZAG,3.7,3.1999999999999997,Fluminense,visitante,4.583333333333333,3.8916666666666666
1546,Zaracho,100079,Atlético-MG,MEI,4.683333333333334,3.1833333333333336,Fluminense,visitante,4.583333333333333,3.8833333333333333
1547,Rossi,81798,Bahia,ATA,3.175,1.55,Grêmio,visitante,6.214285714285714,3.882142857142857
1548,Maycon Douglas,93653,Bahia,ATA,0.4,1.5285714285714287,Grêmio,visitante,6.214285714285714,3.8714285714285714
1549,Daniel Alves,38939,São Paulo,LAT,-0.75,3.5666666666666664,Sport,visitante,4.166666666666667,3.8666666666666667
1550,Eduardo Sasha,70360,Atlético-MG,ATA,1.7600000000000002,3.125,Fluminense,visitante,4.583333333333333,3.8541666666666665
1551,Savarino,98672,Atlético-MG,ATA,8.34,3.0999999999999996,Fluminense,visitante,4.583333333333333,3.8416666666666663
1552,Cuello,98909,Bragantino,ATA,4.6,1.58,América-MG,visitante,6.0625,3.82125
1553,Jonas,85586,Bahia,MEI,0.6833333333333332,1.4166666666666667,Grêmio,visitante,6.214285714285714,3.8154761904761907
1554,Miranda,38141,São Paulo,ZAG,3.1,3.46,Sport,visitante,4.166666666666667,3.8133333333333335
1555,Gustavo Henrique,78248,Flamengo,ZAG,3.675,5.1000000000000005,Ceará,visitante,2.5,3.8000000000000003
1556,Heitor,104649,Internacional,LAT,4.680000000000001,2.85,Santos,visitante,4.714285714285714,3.7821428571428575
1557,Fagner,42500,Corinthians,LAT,3.4125,5.728571428571428,Athlético-PR,visitante,1.7857142857142858,3.7571428571428567
1558,Nathan,87009,Atlético-MG,MEI,1.5666666666666667,2.925,Fluminense,visitante,4.583333333333333,3.7541666666666664
1559,Robson,84817,Fortaleza,ATA,5.4125000000000005,4.6499999999999995,Juventude,visitante,2.8125,3.7312499999999997
1560,Vitor Bueno,87552,São Paulo,ATA,2.46,3.2750000000000004,Sport,visitante,4.166666666666667,3.7208333333333337
1561,Pedro,94583,Flamengo,ATA,4.8,4.880000000000001,Ceará,visitante,2.5,3.6900000000000004
1562,Isla,69345,Flamengo,LAT,6.25,4.866666666666666,Ceará,visitante,2.5,3.683333333333333
1563,Moisés,90444,Internacional,LAT,1.86,2.6333333333333333,Santos,visitante,4.714285714285714,3.673809523809524
1564,Vitinho,78435,Flamengo,ATA,2.3875,4.8,Ceará,visitante,2.5,3.65
1565,Felipe Alves,72372,Fortaleza,GOL,3.5833333333333335,4.416666666666667,Juventude,visitante,2.8125,3.6145833333333335
1566,Filipe Luís,38750,Flamengo,LAT,3.6666666666666665,4.6,Ceará,visitante,2.5,3.55
1567,Marcelo Benevenuto,95638,Fortaleza,ZAG,3.2,4.2875,Juventude,visitante,2.8125,3.55
1568,Dodô,68727,Atlético-MG,LAT,5.8,2.5,Fluminense,visitante,4.583333333333333,3.5416666666666665
1569,Leandrinho,91702,Bragantino,ATA,-1.5,1.0,América-MG,visitante,6.0625,3.53125
1570,Ligger,61141,Bahia,ZAG,0.3,0.8,Grêmio,visitante,6.214285714285714,3.507142857142857
1571,Patrick de Lucca,105294,Bahia,MEI,1.7999999999999998,0.7666666666666666,Grêmio,visitante,6.214285714285714,3.4904761904761905
1572,Bruno Henrique,90285,Flamengo,ATA,10.8125,4.425,Ceará,visitante,2.5,3.4625
1573,Keno,86485,Atlético-MG,ATA,2.8666666666666667,2.3333333333333335,Fluminense,visitante,4.583333333333333,3.458333333333333
1574,Anderson Leite,87691,Chapecoense,MEI,4.166666666666666,3.7600000000000002,Atlético-GO,visitante,3.142857142857143,3.4514285714285715
1575,Renê,78445,Flamengo,LAT,2.2,4.4,Ceará,visitante,2.5,3.45
1576,Pepê,101573,Cuiabá,MEI,3.1999999999999997,5.8999999999999995,Palmeiras,visitante,1.0,3.4499999999999997
1577,Tiago Volpi,72018,São Paulo,GOL,4.4375,2.7142857142857144,Sport,visitante,4.166666666666667,3.4404761904761907
1578,Rogério Ceni,97341,Flamengo,TEC,5.284000000000001,4.343333333333333,Ceará,visitante,2.5,3.4216666666666664
1579,Jair,81091,Atlético-MG,MEI,3.6,2.2375,Fluminense,visitante,4.583333333333333,3.4104166666666664
