,clube,P
0,Atlético-MG,72.28926808519836
1,Palmeiras,63.984981231449844
2,Flamengo,62.68287174550797
3,Fortaleza,58.28784191592446
4,Corinthians,57.583289496746104
5,Bragantino,56.13093923944417
6,Internacional,53.89746783114223
7,Fluminense,52.40017293856124
8,Athlético-PR,47.97963314544857
9,Ceará,47.507766962681714
10,São Paulo,46.027272761162145
11,Atlético-GO,45.77723823058999
12,América-MG,44.56383517488433
13,Bahia,44.38518988520803
14,Santos,43.02847610222173
15,Cuiabá,42.11998594247248
16,Sport,39.677316525344935
17,Juventude,37.06781795339162
18,Grêmio,34.802497521071686
19,Chapecoense,23.251245732097637
