,clube,Média Geral,Ranking Geral,Média Mandante,Ranking Mandantes,Média Visitante,Ranking Visitantes
0,Bragantino,63.12499999999999,1,55.0625,5,80.83500000000001,1
1,Flamengo,61.39166666666667,2,67.3225,1,49.53000000000001,4
2,Santos,57.50833333333333,3,64.92999999999999,2,25.743333333333336,17
3,Athlético-PR,55.98166666666666,4,51.88999999999999,7,59.9725,2
4,Atlético-MG,55.435,5,55.28,4,50.94500000000001,3
5,Palmeiras,52.218333333333334,6,49.775,8,49.035,5
6,Fortaleza,45.32833333333334,7,54.03,6,45.682500000000005,6
7,Juventude,42.781666666666666,8,43.767999999999994,10,30.87,15
8,Corinthians,39.96666666666666,9,35.7025,16,40.175,9
9,Cuiabá,39.93666666666667,10,29.375,19,45.2175,7
10,Internacional,37.25833333333333,11,25.697499999999998,20,37.6075,11
11,Atlético-GO,37.03666666666667,12,44.1275,9,43.96333333333334,8
12,Chapecoense,36.891666666666666,13,36.72666666666667,15,29.194,16
13,América-MG,36.59166666666666,14,33.7125,17,31.0475,14
14,Bahia,36.324999999999996,15,42.894,12,40.10666666666666,10
15,Ceará,33.14666666666666,16,33.464999999999996,18,32.3475,12
16,Fluminense,32.92666666666667,17,43.692499999999995,11,31.252500000000005,13
17,Grêmio,32.32666666666666,18,39.416666666666664,14,25.236666666666668,18
18,Sport,29.906666666666666,19,42.833333333333336,13,21.162,19
19,São Paulo,29.38333333333333,20,56.403333333333336,3,17.651999999999997,20
