,index,media_geral,ranking_geral,media_casa,ranking_casa,media_fora,ranking_fora
0,1,62.3094696969697,1,60.50166666666666,2,64.11727272727273,1
1,0,56.29125,2,61.862500000000004,1,50.71999999999999,3
2,11,51.43104895104895,3,43.41846153846154,12,59.443636363636365,2
3,3,49.642692307692315,4,50.32,4,48.96538461538462,5
4,6,48.44932692307692,5,46.82615384615384,7,50.0725,4
5,2,48.2023076923077,6,51.33307692307694,3,45.07153846153846,7
6,12,42.95913461538461,7,42.82749999999999,13,43.09076923076923,9
7,5,42.73291666666667,8,49.47333333333333,6,35.9925,13
8,8,41.49823717948718,9,45.75230769230768,9,37.244166666666665,12
9,9,41.036249999999995,10,43.80916666666666,10,38.26333333333333,10
10,17,40.776666666666664,11,33.75416666666667,18,47.79916666666666,6
11,10,39.437083333333334,12,43.50083333333334,11,35.373333333333335,14
12,4,39.211118881118885,13,49.81454545454546,5,28.607692307692314,18
13,15,38.536666666666676,14,39.26250000000001,16,37.810833333333335,11
14,18,37.641666666666666,15,31.92,19,43.36333333333334,8
15,7,36.99333333333333,16,46.276666666666664,8,27.71,19
16,13,36.24125,17,41.818333333333335,14,30.66416666666667,17
17,16,35.01288461538462,18,36.645,17,33.38076923076923,15
18,14,33.203525641025635,19,40.93538461538461,15,25.471666666666664,20
19,19,31.351153846153842,20,29.916153846153843,20,32.786153846153844,16
