,mandante,visitante,odds_mandante,odds_empate,odds_visitante
0,Grêmio,Internacional,2.29,3.05,3.47
1,Palmeiras,Santos,1.6,3.84,6.1
2,Athletico-PR,Bragantino,2.51,3.17,3.0
3,América-MG,Atlético-MG,3.79,3.2,2.1
4,São Paulo,Bahia,1.74,3.62,4.96
5,Sport,Fluminense,2.9,2.93,2.74
6,Juventude,Atlético-GO,2.71,2.92,2.94
7,Cuiabá,Ceará,2.96,2.9,2.71
8,Flamengo,Chapecoense,1.27,5.76,11.05
9,Fortaleza,Corinthians,2.21,3.15,3.53
