,clube,P,GP,GC,SG,Fase,ranking
0,Atlético-MG,34,23,11,12,15,1
1,Palmeiras,32,27,15,12,10,2
2,Fortaleza,30,25,14,11,12,3
3,Bragantino,28,25,16,9,6,4
4,Flamengo,24,25,15,10,12,5
5,Athlético-PR,23,22,17,5,4,6
6,Ceará,23,17,13,4,9,7
7,Santos,20,16,16,0,5,8
8,Atlético-GO,20,11,13,-2,6,9
9,Internacional,18,16,18,-2,8,10
10,Corinthians,18,12,14,-2,4,11
11,Bahia,18,19,24,-5,1,12
12,Fluminense,17,10,13,-3,3,13
13,Juventude,16,10,16,-6,4,14
14,Sport,15,8,11,-3,8,15
15,São Paulo,15,11,18,-7,7,16
16,América-MG,14,12,19,-7,5,17
17,Cuiabá,11,12,16,-4,6,18
18,Grêmio,10,8,15,-7,8,19
19,Chapecoense,4,12,27,-15,0,20
