,clube,P,GP,GC,SG,Fase,ranking
0,Bragantino,21,19,10,9,13,1
1,Athlético-PR,19,16,7,9,10,2
2,Palmeiras,19,16,10,6,12,3
3,Atlético-MG,16,11,8,3,7,4
4,Fortaleza,15,14,9,5,5,5
5,Bahia,14,17,13,4,7,6
6,Ceará,13,11,10,1,9,7
7,Atlético-GO,13,7,7,0,6,8
8,Fluminense,13,8,9,-1,5,9
9,Flamengo,12,9,6,3,6,10
10,Santos,12,9,9,0,8,11
11,Juventude,12,7,11,-4,10,12
12,Corinthians,11,7,7,0,7,13
13,Internacional,10,10,14,-4,6,14
14,América-MG,9,9,11,-2,8,15
15,Sport,6,4,8,-4,2,16
16,São Paulo,5,5,11,-6,3,17
17,Cuiabá,4,4,8,-4,2,18
18,Chapecoense,4,8,17,-9,2,19
19,Grêmio,2,4,10,-6,2,20
