,clube,P,GP,GC,SG,Fase,ranking
0,Bragantino,17,17,9,8,13,1
1,Athlético-PR,13,10,5,5,7,2
2,Palmeiras,13,13,9,4,10,3
3,Fortaleza,12,10,5,5,6,4
4,Bahia,11,12,9,3,7,5
5,Santos,11,9,7,2,8,6
6,Atlético-GO,10,5,3,2,4,7
7,Fluminense,10,6,5,1,6,8
8,Atlético-MG,10,6,7,-1,7,9
9,Flamengo,9,7,5,2,6,10
10,Corinthians,9,6,6,0,6,11
11,Ceará,9,9,10,-1,6,12
12,Internacional,9,8,11,-3,8,13
13,Juventude,9,5,9,-4,8,14
14,Sport,5,4,7,-3,4,15
15,Cuiabá,4,4,5,-1,3,16
16,São Paulo,4,4,9,-5,3,17
17,Chapecoense,4,6,12,-6,4,18
18,América-MG,3,3,8,-5,3,19
19,Grêmio,2,4,7,-3,2,20
