,nome,slug,apelido,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,clube,posicao,status_pre,FF,FS,G,A,SG,DE,DS,DP,FC,GC,GS,FD,CA,FT,I,PP,CV,PC,PI,PS,preco_open,ano,home_dummy,opponent,team_goals,opp_goals,match_id,adversario_nome,pontos_ofensivos_decisivos,pontos_ofensivos_finalização,pontos_ofensivos_totais,ieo_gm,ieo_gm_mean,finalizacoes_num,iao_gm,iao_gm_mean,desarmes_perc,ied_gm,ied_gm_mean,ieg_gm,ieg_gm_mean,GS_por_finalizacao,DE_por_finalizacao,ippc_gm,ippc_gm_mean,iro_gm,irp_gm
0,Ramiro Moschen Benetti,ramiro-juventuders,Ramiro,78715,1,264,4,7,-1.1,3.41,-2.59,-1.1,1,Corinthians,MEI,Provável,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,6.0,2021,1,373,0.0,1.0,270152,Atlético-GO,0.0,1.2,1.2,0.0,0.0,1.0,0.0,0.0,50.0,27.500000000000004,27.500000000000004,25.71428571428571,25.71428571428571,0.0,0.0,-0.18333333333333335,-0.18333333333333335,7.241666666666667,0.211162024621492
1,Ramiro Moschen Benetti,ramiro-juventuders,Ramiro,78715,2,264,4,2,0.7,2.42,-0.99,-0.2,2,Corinthians,MEI,Dúvida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.41,2021,0,327,1.0,0.0,270162,América-MG,0.0,1.2,1.2,0.0,0.0,1.0,0.0,0.0,0.0,27.586206896551722,27.543103448275865,22.727272727272727,24.22077922077922,0.0,0.0,0.20527859237536655,0.010972629521016602,7.241666666666667,0.211162024621492
2,Ramiro Moschen Benetti,ramiro-juventuders,Ramiro,78715,3,264,4,6,1.9,2.73,0.31,0.5,3,Corinthians,MEI,Nulo,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.42,2021,0,275,1.0,1.0,270172,Palmeiras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,48.484848484848484,34.523685127133405,0.0,16.147186147186147,0.0,0.0,0.7851239669421487,0.26902307532806063,7.241666666666667,0.211162024621492
3,Ramiro Moschen Benetti,ramiro-juventuders,Ramiro,78715,4,264,4,6,0.1,2.36,-0.37,0.4,4,Corinthians,MEI,Nulo,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.73,2021,1,280,1.0,2.0,270183,Bragantino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,19.148936170212767,30.679997887903244,5.714285714285714,13.53896103896104,0.0,0.0,0.03663003663003663,0.21092481565355461,7.241666666666667,0.211162024621492
4,Ramiro Moschen Benetti,ramiro-juventuders,Ramiro,78715,5,264,4,7,-1.8,1.76,-0.6,-0.04,5,Corinthians,MEI,Provável,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,2.36,2021,0,265,0.0,0.0,270197,Bahia,0.0,1.2,1.2,0.0,0.0,1.0,0.0,0.0,25.0,18.75,28.293998310322593,18.51851851851852,14.534872534872534,0.0,0.0,-0.7627118644067797,0.016197479641487746,7.241666666666667,0.211162024621492
5,Ramiro Moschen Benetti,ramiro-juventuders,Ramiro,78715,6,264,4,6,0.7,2.08,0.32,0.08,6,Corinthians,MEI,Nulo,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.76,2021,1,292,2.0,1.0,270202,Sport,0.0,0.8,0.8,0.0,0.0,1.0,0.0,0.0,0.0,24.242424242424242,27.61873596567287,5.555555555555555,13.038319704986371,0.0,0.0,0.3977272727272727,0.07978577848911857,7.241666666666667,0.211162024621492
6,0,0,0,78715,7,264,4,6,0.0,2.08,0.0,0.08,6,Corinthians,MEI,Nulo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,2021,0,266,1.0,1.0,270231,Fluminense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.684210526315788,27.05666090290757,0.0,11.175702604274033,0.0,0.0,0.0,0.06838781013353021,7.241666666666667,0.211162024621492
7,Mateus da Silva Vital Assumpção,mateus-vital,Mateus Vital,93108,1,264,4,7,0.8,6.13,-1.87,0.8,1,Corinthians,MEI,Provável,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,8.0,2021,1,373,0.0,1.0,270152,Atlético-GO,0.0,1.2,1.2,0.0,0.0,1.0,0.0,0.0,80.0,50.0,50.0,25.71428571428571,25.71428571428571,0.0,0.0,0.1,0.1,15.054545454545455,4.86056587583289
8,Mateus da Silva Vital Assumpção,mateus-vital,Mateus Vital,93108,2,264,4,7,0.0,6.13,0.0,0.8,1,Corinthians,MEI,Provável,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.13,2021,0,327,1.0,0.0,270162,América-MG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.48275862068966,42.241379310344826,22.727272727272727,24.22077922077922,0.0,0.0,0.0,0.05,15.054545454545455,4.86056587583289
9,Mateus da Silva Vital Assumpção,mateus-vital,Mateus Vital,93108,3,264,4,7,2.6,5.59,-0.54,1.7,2,Corinthians,MEI,Provável,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.13,2021,0,275,1.0,1.0,270172,Palmeiras,0.0,1.2,1.2,0.0,0.0,1.0,0.0,0.0,100.0,39.39393939393939,41.29223267154301,0.0,16.147186147186147,0.0,0.0,0.4241435562805873,0.17471451876019575,15.054545454545455,4.86056587583289
