,clube,ranking_clube,fase
0,Atlético-MG,1,86.67
1,Ceará,9,73.33
2,Flamengo,2,73.33
3,Corinthians,4,60.0
4,Fluminense,7,60.0
5,Juventude,14,53.33
6,São Paulo,12,53.33
7,Santos,11,53.33
8,Atlético-GO,13,46.67
9,Grêmio,18,46.67
10,América-MG,8,40.0
11,Cuiabá,15,33.33
12,Bragantino,5,33.33
13,Fortaleza,6,26.67
14,Athlético-PR,16,26.67
15,Internacional,10,26.67
16,Bahia,17,26.67
17,Sport,19,20.0
18,Chapecoense,20,13.33
19,Palmeiras,3,13.33
