,clube,P,GP,GC,SG,Fase,ranking
0,Atlético-MG,37,25,11,14,15,1
1,Palmeiras,32,27,17,10,7,2
2,Fortaleza,31,26,15,11,10,3
3,Bragantino,28,26,18,8,5,4
4,Flamengo,27,27,15,12,12,5
5,Athlético-PR,23,22,18,4,3,6
6,Ceará,23,18,16,2,8,7
7,Atlético-GO,23,13,14,-1,8,8
8,Santos,21,17,17,0,6,9
9,Internacional,21,20,20,0,10,10
10,Corinthians,21,15,15,0,7,11
11,Juventude,19,12,17,-5,6,12
12,São Paulo,18,13,19,-6,7,13
13,Bahia,18,20,26,-6,1,14
14,Fluminense,17,12,17,-5,0,15
15,Sport,15,8,13,-5,8,16
16,América-MG,15,13,20,-7,6,17
17,Cuiabá,14,13,16,-3,8,18
18,Grêmio,10,9,17,-8,7,19
19,Chapecoense,5,13,28,-15,1,20
