,clube,P
0,Atlético-MG,69.49967284024392
1,Palmeiras,61.94451700758843
2,Flamengo,59.30372468617233
3,Fortaleza,56.99207784323448
4,Corinthians,55.88179364266375
5,Bragantino,55.08255887241261
6,Internacional,54.38975062951522
7,Fluminense,53.594530955004956
8,Athlético-PR,52.90412057668398
9,São Paulo,49.012482191175664
10,Santos,46.46439051376341
11,Ceará,46.29541275166032
12,Atlético-GO,43.91090238557349
13,Bahia,42.56859969973941
14,Cuiabá,42.36241467929521
15,Grêmio,41.38259824115008
16,Juventude,41.243116088957244
17,América-MG,37.25312501450525
18,Sport,35.29622194679316
19,Chapecoense,28.0350379272797
