,clube,Média Geral,Ranking Geral,Média Mandante,Ranking Mandantes,Média Visitante,Ranking Visitantes
0,Palmeiras,63.47333333333333,1,59.893333333333324,4,54.152,4
1,Fortaleza,63.399999999999984,2,67.38333333333334,1,43.833999999999996,7
2,Bragantino,55.853333333333325,3,51.556,7,69.47166666666665,1
3,Atlético-MG,53.855,4,52.14399999999999,6,58.63666666666668,3
4,São Paulo,52.60166666666667,5,52.60600000000001,5,30.383333333333336,15
5,Santos,50.29,6,64.92999999999999,2,20.441999999999997,20
6,Flamengo,50.03999999999999,7,60.01999999999999,3,52.10999999999999,5
7,Ceará,47.40166666666667,8,39.47,14,39.620000000000005,13
8,Athlético-PR,46.63666666666666,9,49.724,8,59.972500000000004,2
9,Bahia,44.126666666666665,10,44.29,10,42.303999999999995,8
10,Corinthians,43.690000000000005,11,36.372,16,41.236666666666665,10
11,Grêmio,42.64333333333334,12,41.92,11,23.237499999999997,17
12,América-MG,41.23833333333333,13,40.25666666666667,12,28.046,16
13,Fluminense,39.43666666666667,14,45.99399999999999,9,40.30833333333334,11
14,Internacional,39.07333333333333,15,25.881999999999998,19,39.96333333333333,12
15,Atlético-GO,36.32666666666666,16,39.315999999999995,15,47.126,6
16,Juventude,34.053333333333335,17,39.910000000000004,13,23.190000000000005,18
17,Cuiabá,32.58166666666666,18,25.625,20,41.519999999999996,9
18,Chapecoense,29.728333333333335,19,29.870000000000005,18,30.691666666666666,14
19,Sport,26.47,20,32.332,17,22.361666666666668,19
