,mandante,visitante,prob_vitoria_mandante,prob_empate,prob_vitoria_visitante,prob_sg_mandante,prob_sg_visitante
0,Fluminense,Chapecoense,62.91995544979079,24.360286951872432,12.719652045288864,56.99269951238308,20.090225715214487
1,Palmeiras,Ceará,46.83480922654905,26.798524603520736,26.366632864963996,37.038009921892865,24.18226811716892
2,Santos,Cuiabá,35.288917319847414,36.93034680516734,27.780735748484542,50.86393057665906,44.77586425221205
3,América-MG,São Paulo,40.473127629550184,33.87628378952785,25.650587805777537,49.34724999704053,37.86976198276669
4,Grêmio,Atlético-MG,15.655393612007352,26.018027241440155,58.32652262500054,22.229942235745305,52.961174428409606
5,Fortaleza,Bahia,45.87307436698529,28.32731576553456,25.799595479369863,40.61369870698662,27.167106323661887
6,Sport,Athlético-PR,30.667613081529073,38.34274560565752,30.989641261401896,49.58109080860605,49.84706251621848
7,Bragantino,Internacional,46.514132486895434,24.769410881225117,28.716352227189258,30.16271496576018,20.33258053646669
8,Juventude,Corinthians,32.67700088963372,33.314202487885744,34.00879606206684,40.940762958801415,41.94193702721901
9,Atlético-GO,Flamengo,19.875603854842367,32.121962473425555,48.0024305774539,32.68103312441619,54.58145185119135
