,mandante,visitante,odds_mandante,odds_empate,odds_visitante
0,Atlético-GO,Juventude,2.13,3.18,3.78
1,Grêmio,Flamengo,1.91,3.64,3.95
2,Palmeiras,Atlético-MG,4.61,3.63,1.82
3,Fluminense,Internacional,2.2,3.23,3.55
4,São Paulo,Athletico-PR,1.79,3.67,4.68
5,Santos,Fortaleza,2.38,3.36,3.14
6,Ceará,Corinthians,2.54,3.22,2.92
7,Bahia,Grêmio,2.52,3.33,2.91
8,Chapecoense,Atlético-GO,3.52,3.4,2.16
