,apelido,atleta_id,clube,posicao,media_casa,media_fora
407,Titi,50353,Fortaleza,ZAG,4.8,1.25
408,Toró,101885,Atlético-GO,ATA,1.0,1.1333333333333335
409,Tréllez,87679,Sport,ATA,-0.5,-0.26666666666666666
410,Uendel,60852,Cuiabá,LAT,3.7,1.95
411,Uillian Correia,72007,Cuiabá,MEI,-0.1,-0.033333333333333305
412,Vagner Mancini,39850,Grêmio,TEC,4.796666666666667,1.5033333333333332
413,Vanderson,107750,Grêmio,LAT,2.3,1.2333333333333332
414,Vargas,69102,Atlético-MG,ATA,3.85,0.2
415,Velázquez,90012,Santos,ZAG,3.5,7.9
416,Victor Bobsin,107501,Grêmio,MEI,1.3,0.0
417,Victor Luis,86410,Palmeiras,LAT,8.9,-1.3
418,Villasanti,97145,Grêmio,MEI,8.8,3.25
419,Vina,71162,Ceará,MEI,8.625,9.65
420,Vinicius Mingotti,105909,Athlético-PR,ATA,0.4,0.15000000000000002
421,Vinícius Balieiro,110605,Santos,MEI,1.0,-0.55
422,Vinícius Zanocelo,104521,Santos,MEI,2.225,1.1
423,Vitinho,78435,Flamengo,ATA,2.275,1.5499999999999998
424,Vitinho,111406,Corinthians,MEI,0.7,1.6333333333333335
425,Vitor Bueno,87552,São Paulo,ATA,1.7,0.6
426,Vitor Gabriel,101596,Flamengo,ATA,0.15000000000000002,0.9000000000000001
427,Vitor Mendes,104401,Juventude,ZAG,9.7,5.95
428,Víctor Cuesta,79113,Internacional,ZAG,6.05,-1.2333333333333332
429,Wagner,37674,Juventude,MEI,-0.5,-0.1
430,Wagner Leonardo,104994,Santos,ZAG,3.3,4.35
431,Walter,51413,Cuiabá,GOL,11.0,5.625
432,Wanderson,86143,Atlético-GO,ZAG,2.9,0.5
433,Wellington,62129,Fluminense,MEI,-1.8,0.0
434,Wellington Paulista,38279,Fortaleza,ATA,-0.06666666666666672,-0.2
435,Werley,62974,Atlético-GO,ZAG,5.0,0.0
436,Wescley,70925,Juventude,MEI,1.3,1.1
437,Wesley,105811,Palmeiras,ATA,2.7,-0.1
438,Weverson,109426,Bragantino,LAT,5.0,-0.7333333333333334
439,Weverton,71631,Palmeiras,GOL,4.125,3.3333333333333335
440,Weverton,104625,Bragantino,LAT,4.8,2.4
441,William Matheus,62130,Juventude,LAT,2.575,9.1
442,William Oliveira,94297,Ceará,MEI,0.7333333333333334,0.2
443,Willian,42116,Palmeiras,ATA,5.5,1.0
444,Willian Arão,78478,Flamengo,ZAG,6.85,4.233333333333333
445,Willian Maranhão,87262,Atlético-GO,MEI,-0.4666666666666666,0.65
