,clube,Média Geral,Ranking Geral,Média Mandante,Ranking Mandantes,Média Visitante,Ranking Visitantes
0,Flamengo,68.53833333333333,1,60.91166666666666,3,69.95,1
1,Palmeiras,67.875,2,59.856666666666676,4,60.23666666666667,2
2,Fortaleza,62.71,3,65.18333333333334,1,42.855,8
3,Atlético-MG,61.43666666666667,4,64.325,2,52.546666666666674,4
4,Ceará,56.45499999999999,5,46.473333333333336,8,43.12833333333333,7
5,Bragantino,45.345,6,52.72666666666667,6,55.74333333333334,3
6,São Paulo,44.254999999999995,7,41.001666666666665,12,32.63666666666666,16
7,Internacional,41.473333333333336,8,36.71333333333333,15,42.01833333333334,9
8,Corinthians,40.23333333333334,9,40.181666666666665,14,40.01833333333334,11
9,América-MG,39.96333333333333,10,41.98333333333333,11,34.571666666666665,14
10,Fluminense,38.14666666666667,11,40.89166666666667,13,33.63666666666667,15
11,Sport,36.906666666666666,12,32.47,17,35.888333333333335,13
12,Grêmio,36.53666666666667,13,42.025,10,26.83833333333334,19
13,Juventude,35.19833333333333,14,47.52833333333333,7,22.451666666666668,20
14,Atlético-GO,34.39833333333333,15,25.453333333333333,19,48.27166666666667,5
15,Santos,33.52833333333333,16,57.0,5,30.38166666666667,18
16,Athlético-PR,32.76333333333333,17,45.89166666666666,9,41.85333333333333,10
17,Bahia,32.27166666666667,18,34.908333333333324,16,38.19833333333333,12
18,Cuiabá,30.22,19,23.490000000000002,20,46.6,6
19,Chapecoense,27.254999999999995,20,32.346666666666664,18,31.8,17
