,clube,P,GP,GC,SG,Fase,ranking
0,Atlético-MG,42,29,13,16,8,1
1,Palmeiras,35,30,23,7,3,2
2,Flamengo,34,35,17,18,10,3
3,Fortaleza,33,29,22,7,3,4
4,Bragantino,32,30,21,9,4,5
5,Corinthians,29,19,17,2,11,6
6,Fluminense,27,19,20,-1,10,7
7,Internacional,26,23,22,1,8,8
8,Atlético-GO,26,15,16,-1,6,9
9,Cuiabá,24,19,18,1,13,10
10,Athlético-PR,24,23,23,0,1,11
11,Ceará,24,19,21,-2,1,12
12,Santos,23,20,25,-5,3,13
13,São Paulo,22,16,22,-6,7,14
14,Juventude,22,16,22,-6,6,15
15,Bahia,22,24,32,-8,4,16
16,América-MG,21,17,22,-5,7,17
17,Sport,17,8,15,-7,2,18
18,Grêmio,16,13,18,-5,6,19
19,Chapecoense,10,17,32,-15,6,20
