,index,media_geral,ranking_geral,media_casa,ranking_casa,media_fora,ranking_fora
0,0,61.64113095238095,1,61.87142857142856,1,61.410833333333336,1
1,1,55.51379487179487,2,61.106923076923074,2,49.92066666666666,4
2,3,50.64048717948719,3,50.058666666666674,4,51.2223076923077,3
3,9,50.50840659340659,4,45.17142857142857,10,55.84538461538462,2
4,2,48.78214285714286,5,54.20428571428572,3,43.35999999999999,7
5,5,46.4462564102564,6,48.51384615384615,6,44.37866666666665,6
6,7,44.414692307692306,7,47.59399999999999,8,41.23538461538462,9
7,4,43.644285714285715,8,49.558571428571426,5,37.730000000000004,12
8,12,42.54817948717949,9,43.99769230769231,13,41.09866666666667,10
9,17,41.722829670329666,10,37.84642857142857,18,45.599230769230765,5
10,13,41.441620879120876,11,43.37538461538462,14,39.50785714285714,11
11,6,41.15375,12,47.75416666666666,7,34.553333333333335,15
12,11,40.30508241758241,13,44.6023076923077,12,36.007857142857134,14
13,16,39.38211538461539,14,41.665000000000006,17,37.099230769230765,13
14,18,38.98220238095239,15,34.850833333333334,19,43.11357142857143,8
15,8,38.20870879120879,16,46.43357142857143,9,29.98384615384615,18
16,15,37.38214285714286,17,41.80428571428572,16,32.96,16
17,10,35.450833333333335,18,44.855000000000004,11,26.046666666666667,20
18,14,34.276051282051284,19,42.16133333333334,15,26.390769230769227,19
19,19,30.086976190476193,20,29.439285714285713,20,30.73466666666667,17
