,index,media_geral,ranking_geral,media_casa,ranking_casa,media_fora,ranking_fora
0,0,65.67566964285714,1,65.700625,1,65.65071428571427,1
1,1,57.94677083333333,2,64.00666666666667,2,51.886874999999996,2
2,2,50.95923529411765,3,52.216470588235296,3,49.702,4
3,11,48.42575000000001,4,45.477500000000006,12,51.374,3
4,5,45.6785,5,50.02499999999999,6,41.332,8
5,6,45.47450980392156,6,49.50235294117647,7,41.446666666666665,7
6,7,45.23211764705883,7,48.65600000000001,8,41.80823529411765,6
7,4,45.128988970588246,8,50.71562500000002,5,39.542352941176475,10
8,3,43.180145833333334,9,51.18466666666667,4,35.175625,14
9,9,42.70727450980392,10,46.37866666666667,10,39.03588235294117,11
10,17,41.33766666666667,11,38.66133333333334,18,44.014,5
11,12,41.058348214285715,12,44.98357142857143,13,37.13312499999999,13
12,10,40.60433333333334,13,46.04466666666667,11,35.164,15
13,18,39.057403846153846,14,37.32230769230769,19,40.7925,9
14,16,39.00383333333333,15,39.375,17,38.632666666666665,12
15,14,37.86749999999999,16,43.724374999999995,15,32.010625,16
16,13,37.314708333333336,17,43.81066666666667,14,30.81875,17
17,8,37.08557142857143,18,48.534,9,25.637142857142855,20
18,15,35.94422268907563,19,42.20058823529411,16,29.687857142857148,19
19,19,29.7821875,20,29.830000000000002,20,29.734375,18
