,clube,ranking_clube,fase
0,Fortaleza,3,80.0
1,Bragantino,5,73.33
2,Atlético-MG,1,66.67
3,Palmeiras,2,66.67
4,América-MG,10,53.33
5,Internacional,6,53.33
6,Flamengo,4,53.33
7,Bahia,15,53.33
8,Fluminense,8,46.67
9,Atlético-GO,9,46.67
10,Sport,18,46.67
11,Corinthians,7,46.67
12,São Paulo,13,40.0
13,Cuiabá,11,40.0
14,Santos,17,33.33
15,Athlético-PR,12,26.67
16,Grêmio,19,26.67
17,Ceará,14,20.0
18,Juventude,16,13.33
19,Chapecoense,20,13.33
