,nome,slug,apelido,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,clube,posicao,status_pre,FF,FS,G,A,SG,DE,DS,DP,FC,GC,GS,FD,CA,FT,I,PP,CV,PC,PI,PS,preco_open,ano,home_dummy,opponent,team_goals,opp_goals,match_id,adversario_nome,pontos_ofensivos_decisivos,pontos_ofensivos_finalização,pontos_ofensivos_totais,ieo_gm,ieo_gm_mean,finalizacoes_num,iao_gm,iao_gm_mean,desarmes_perc,ied_gm,ied_gm_mean,ieg_gm,ieg_gm_mean,GS_por_finalizacao,DE_por_finalizacao,ippc_gm,ippc_gm_mean,iro_gm,irp_gm
835,Thiago Heleno Henrique Ferreira,thiagoheleno,Thiago Heleno,38394,3,293,3,6,4.6,11.23,0.46,5.13,3,Athlético-PR,ZAG,Nulo,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,10.77,2021,0,284,1.0,0.0,270175,Grêmio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,38.15134099616858,4.0,19.948051948051944,0.0,0.0,0.4271123491179201,0.5295825230812354,5.453749999999999,6.4415916670473745
836,Thiago Heleno Henrique Ferreira,thiagoheleno,Thiago Heleno,38394,4,293,3,7,0.0,11.23,0.0,5.13,3,Athlético-PR,ZAG,Provável,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.23,2021,1,262,,,270181,Flamengo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.02127659574468,32.868824896062605,5.714285714285714,16.389610389610386,0.0,0.0,0.0,0.3971868923109266,5.453749999999999,6.4415916670473745
837,Thiago Heleno Henrique Ferreira,thiagoheleno,Thiago Heleno,38394,5,293,3,7,3.8,10.95,-0.28,4.8,4,Athlético-PR,ZAG,Provável,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,11.23,2021,1,373,2.0,1.0,270198,Atlético-GO,0.0,0.8,0.8,0.0,0.0,1.0,0.0,0.0,100.0,53.125,36.920059916850086,18.51851851851852,16.815392015392014,0.0,0.0,0.3383793410507569,0.38542538205889265,5.453749999999999,6.4415916670473745
838,Thiago Heleno Henrique Ferreira,thiagoheleno,Thiago Heleno,38394,6,293,3,7,0.0,10.09,-0.86,3.84,5,Athlético-PR,ZAG,Provável,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,10.95,2021,0,265,1.0,2.0,270208,Bahia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.242424242424242,34.807120637779114,5.555555555555555,14.93875260541927,0.0,0.0,0.0,0.32118781838241056,5.453749999999999,6.4415916670473745
839,Thiago Heleno Henrique Ferreira,thiagoheleno,Thiago Heleno,38394,7,293,3,7,9.6,12.0,1.91,4.8,6,Athlético-PR,ZAG,Provável,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.09,2021,1,315,2.0,2.0,270239,Chapecoense,8.0,0.8,8.8,90.91,12.987142857142857,2.0,40.0,5.714285714285714,100.0,31.57894736842105,34.34595302787081,0.0,12.804645090359374,0.0,0.0,0.9514370664023786,0.41122342524240596,5.453749999999999,6.4415916670473745
840,Thiago Heleno Henrique Ferreira,thiagoheleno,Thiago Heleno,38394,8,293,3,7,-1.3,9.94,-2.06,3.93,7,Athlético-PR,ZAG,Provável,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,12.0,2021,0,266,4.0,1.0,270252,Fluminense,0.0,0.0,0.0,0.0,11.36375,0.0,0.0,5.0,0.0,21.62162162162162,32.755411602089666,25.806451612903224,14.429870905677355,0.0,0.0,-0.10833333333333334,0.34627883042043855,5.453749999999999,6.4415916670473745
841,Thiago Heleno Henrique Ferreira,thiagoheleno,Thiago Heleno,38394,9,293,3,6,0.7,10.13,0.19,3.53,8,Athlético-PR,ZAG,Nulo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,9.94,2021,1,356,2.0,1.0,270278,Fortaleza,0.0,1.2,1.2,0.0,10.101111111111111,1.0,0.0,4.444444444444445,0.0,24.242424242424242,31.809524117682397,7.5,13.659885249490982,0.0,0.0,0.0704225352112676,0.3156281309527529,5.453749999999999,6.4415916670473745
842,Thiago Heleno Henrique Ferreira,thiagoheleno,Thiago Heleno,38394,10,293,3,6,0.0,10.13,0.0,3.53,8,Athlético-PR,ZAG,Nulo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.13,2021,0,277,1.0,2.0,270284,Santos,0.0,0.0,0.0,0.0,9.091,0.0,0.0,4.0,0.0,23.809523809523807,31.009524086866538,24.242424242424242,14.718139148784308,0.0,0.0,0.0,0.2840653178574776,5.453749999999999,6.4415916670473745
843,Renato Kayzer de Souza,renatokayzer,Renato Kayzer,92696,1,293,5,7,3.3,9.96,-1.04,3.3,1,Athlético-PR,ATA,Provável,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,2021,1,327,1.0,0.0,270159,América-MG,0.0,2.4,2.4,0.0,0.0,2.0,0.0,0.0,0.0,25.0,25.0,25.71428571428571,25.71428571428571,0.0,0.0,0.3,0.3,2.7775,0.730960756544383
844,Renato Kayzer de Souza,renatokayzer,Renato Kayzer,92696,2,293,5,7,0.5,8.27,-1.69,1.9,2,Athlético-PR,ATA,Provável,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.96,2021,0,286,3.0,0.0,270170,Juventude,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,41.37931034482759,33.189655172413794,22.727272727272727,24.22077922077922,0.0,0.0,0.05020080321285141,0.1751004016064257,2.7775,0.730960756544383
