,clube,P,GP,GC,SG,Fase,ranking
0,Atlético-MG,49,33,13,20,10,1
1,Palmeiras,39,34,26,8,4,2
2,Flamengo,38,39,19,20,7,3
3,Fortaleza,36,30,26,4,3,4
4,Bragantino,34,34,26,8,2,5
5,Corinthians,34,24,21,3,7,6
6,Internacional,32,26,23,3,9,7
7,Fluminense,31,23,23,0,10,8
8,Atlético-GO,30,19,18,1,5,9
9,Athlético-PR,30,29,29,0,7,10
10,Ceará,28,20,21,-1,4,11
11,São Paulo,27,19,24,-5,5,12
12,Cuiabá,26,21,22,-1,8,13
13,América-MG,26,21,24,-3,8,14
14,Juventude,26,21,25,-4,5,15
15,Santos,24,20,28,-8,2,16
16,Bahia,23,25,35,-10,5,17
17,Sport,20,10,20,-10,4,18
18,Grêmio,19,17,24,-7,6,19
19,Chapecoense,11,18,36,-18,4,20
