,apelido,atleta_id,clube,posicao,media_casa,media_fora,adversário,mando,media_cedidos,XP_visitante
1590,Raí Nascimento,114648,Bahia,ATA,-0.5,9.9,América-MG,visitante,5.3076923076923075,7.603846153846154
1591,Rafael Luiz,107543,Bragantino,LAT,1.0666666666666667,10.2,Ceará,visitante,4.166666666666667,7.183333333333334
1592,Ricardo Bueno,69141,Juventude,ATA,7.6,8.625,Grêmio,visitante,4.666666666666667,6.645833333333334
1593,Aderlan,88423,Bragantino,LAT,3.4299999999999997,7.371428571428571,Ceará,visitante,4.166666666666667,5.769047619047619
1594,Walter,51413,Cuiabá,GOL,2.2222222222222223,6.2727272727272725,Flamengo,visitante,4.875,5.573863636363637
1595,Raul,92496,Bragantino,MEI,2.8000000000000003,6.840000000000001,Ceará,visitante,4.166666666666667,5.503333333333334
1596,Carlinhos,63194,Fortaleza,LAT,4.8,6.1,Chapecoense,visitante,4.769230769230769,5.434615384615384
1597,Luiz Henrique,104526,Santos,MEI,0.7,0.0,Sport,visitante,5.416666666666667,5.416666666666667
1598,Jobson,93377,Santos,MEI,-0.7,0.0,Sport,visitante,5.416666666666667,5.416666666666667
1599,Kevin Malthus,110745,Santos,MEI,0.0,0.0,Sport,visitante,5.416666666666667,5.416666666666667
1600,Lucas Venuto,100290,Santos,ATA,0.5,0.0,Sport,visitante,5.416666666666667,5.416666666666667
1601,Marinho,68952,Santos,ATA,6.428571428571429,5.3,Sport,visitante,5.416666666666667,5.358333333333333
1602,Juan Ramírez,97062,Bahia,MEI,-2.0,0.0,América-MG,visitante,5.3076923076923075,5.3076923076923075
1603,Gilberto,61188,Bahia,ATA,3.463636363636364,5.208333333333333,América-MG,visitante,5.3076923076923075,5.25801282051282
1604,Marcelo Benevenuto,95638,Fortaleza,ZAG,3.036363636363637,5.391666666666667,Chapecoense,visitante,4.769230769230769,5.080448717948718
1605,Felipe Alves,72372,Fortaleza,GOL,3.25,5.388888888888889,Chapecoense,visitante,4.769230769230769,5.07905982905983
1606,Éderson,103099,Fortaleza,MEI,6.433333333333333,5.269230769230768,Chapecoense,visitante,4.769230769230769,5.019230769230768
1607,Carlos Sánchez,81677,Santos,MEI,0.024999999999999994,4.6,Sport,visitante,5.416666666666667,5.008333333333333
1608,Matheus Peixoto,87098,Juventude,ATA,7.7142857142857135,5.319999999999999,Grêmio,visitante,4.666666666666667,4.993333333333333
1609,Hulk,39148,Atlético-MG,ATA,8.75,5.907692307692307,Atlético-GO,visitante,4.041666666666667,4.974679487179487
1610,Artur,95799,Bragantino,ATA,6.40909090909091,5.766666666666667,Ceará,visitante,4.166666666666667,4.966666666666667
1611,Matheus Bahia,97899,Bahia,LAT,4.511111111111111,4.555555555555555,América-MG,visitante,5.3076923076923075,4.931623931623932
1612,Cássio,42234,Corinthians,GOL,3.6666666666666665,5.291666666666667,São Paulo,visitante,4.541666666666667,4.916666666666667
1613,João Lucas,104257,Cuiabá,LAT,3.22,4.918181818181818,Flamengo,visitante,4.875,4.896590909090909
1614,Gustavo Nescau,112327,Cuiabá,ATA,0.0,0.0,Flamengo,visitante,4.875,4.875
1615,Ytalo,53148,Bragantino,ATA,5.3545454545454545,5.522222222222222,Ceará,visitante,4.166666666666667,4.844444444444445
1616,Lucas Crispim,88597,Fortaleza,MEI,4.15,4.808333333333334,Chapecoense,visitante,4.769230769230769,4.788782051282052
1617,Ramires,103295,Bragantino,MEI,1.0,5.3,Ceará,visitante,4.166666666666667,4.733333333333333
1618,Maurício Barbieri,82792,Bragantino,TEC,3.6184615384615384,5.188999999999999,Ceará,visitante,4.166666666666667,4.677833333333333
1619,Edwin Mosquera,108355,Juventude,MEI,0.0,0.0,Grêmio,visitante,4.666666666666667,4.666666666666667
1620,Fagner,42500,Corinthians,LAT,3.0083333333333333,4.779999999999999,São Paulo,visitante,4.541666666666667,4.660833333333333
1621,Yago Pikachu,80196,Fortaleza,MEI,5.692307692307692,4.5,Chapecoense,visitante,4.769230769230769,4.634615384615385
1622,Robson,111638,Santos,ZAG,3.3,3.8,Sport,visitante,5.416666666666667,4.608333333333333
1623,Claudinho,92630,Bragantino,MEI,2.15,5.0,Ceará,visitante,4.166666666666667,4.583333333333334
1624,Róger Guedes,89898,Corinthians,ATA,8.500000000000002,4.6000000000000005,São Paulo,visitante,4.541666666666667,4.570833333333334
1625,Fábio Santos,38229,Corinthians,LAT,1.3181818181818183,4.545454545454546,São Paulo,visitante,4.541666666666667,4.543560606060606
1626,Nino Paraíba,68808,Bahia,LAT,3.3,3.7700000000000005,América-MG,visitante,5.3076923076923075,4.538846153846154
1627,Helinho,102598,Bragantino,ATA,2.0749999999999997,4.8999999999999995,Ceará,visitante,4.166666666666667,4.533333333333333
