,clube,Média Geral,Ranking Geral,Média Mandante,Ranking Mandantes,Média Visitante,Ranking Visitantes
0,Bragantino,63.79833333333334,1,54.76333333333333,4,80.835,1
1,Flamengo,60.208000000000006,2,67.3225,1,31.75,11
2,Athlético-PR,54.98166666666666,3,51.88999999999999,5,58.07333333333332,2
3,Santos,53.85333333333333,4,65.26249999999999,2,25.74333333333333,16
4,Atlético-MG,52.25333333333333,5,44.69,9,50.94500000000001,4
5,Palmeiras,51.74666666666666,6,49.775,7,48.25333333333334,5
6,Fortaleza,48.401666666666664,7,51.60333333333333,6,45.6825,6
7,Atlético-GO,47.72666666666666,8,44.1275,10,54.925000000000004,3
8,Cuiabá,44.193999999999996,9,40.099999999999994,13,45.217499999999994,7
9,Corinthians,39.31166666666666,10,28.403333333333336,19,40.175,8
10,Fluminense,36.38166666666667,11,47.38333333333333,8,31.2525,12
11,Bahia,35.525,12,41.89,12,40.10666666666666,9
12,Grêmio,33.751999999999995,13,39.416666666666664,14,25.255000000000003,17
13,Chapecoense,33.656666666666666,14,36.72666666666667,15,27.6025,15
14,Internacional,33.62166666666666,15,25.063333333333333,20,37.607499999999995,10
15,Juventude,32.855000000000004,16,34.42,16,30.870000000000005,13
16,América-MG,28.791666666666668,17,33.7125,17,19.286666666666665,18
17,Ceará,28.30999999999999,18,33.464999999999996,18,27.74666666666667,14
18,Sport,26.125,19,42.833333333333336,11,17.535,19
19,São Paulo,22.53,20,56.40333333333334,3,8.075000000000001,20
