,mandante,visitante,odds_mandante,odds_empate,odds_visitante
1,Athletico-PR,Flamengo,3.3,3.26,2.25
3,Cuiabá,Chapecoense,1.68,3.89,5.08
4,Flamengo,Atlético-GO,1.43,4.32,7.76
5,Corinthians,Fortaleza,2.21,3.19,3.61
6,Internacional,Grêmio,2.15,3.2,3.6
7,Fluminense,Sport,1.62,3.59,6.08
8,Atlético-MG,América-MG,1.46,4.45,6.8
9,Bragantino,Athletico-PR,1.81,3.5,4.62
10,Santos,Palmeiras,3.48,2.9,2.12
11,Bahia,São Paulo,3.19,3.03,2.43
12,Ceará,Cuiabá,1.92,3.13,4.63
