,mandante,visitante,odds_mandante,odds_empate,odds_visitante
0,América-MG,Athletico-PR,2.37,3.19,3.17
1,Juventude,Cuiabá,2.32,2.99,3.5
2,Bragantino,Chapecoense,1.51,4.25,6.59
3,Santos,Bahia,2.21,3.34,3.34
4,Grêmio,Ceará,1.99,3.39,3.94
5,Fortaleza,Atlético-MG,3.5,3.45,2.12
6,Palmeiras,Flamengo,2.93,3.43,2.42
7,Atlético-GO,Corinthians,3.18,3.01,2.48
8,Fluminense,São Paulo,2.95,3.05,2.61
9,Sport,Internacional,3.75,3.33,2.06
