,clube,P
0,Atlético-MG,69.39023857825102
1,Palmeiras,62.990108170774754
2,Flamengo,60.21920382021794
3,Bragantino,56.147252298325824
4,Fortaleza,55.027294405323175
5,Corinthians,54.59709012276159
6,Internacional,53.32011400325327
7,Fluminense,52.22111942904293
8,Athlético-PR,51.730523416812815
9,São Paulo,49.88426816614911
10,Santos,47.5138743765576
11,Ceará,45.06850737452661
12,Atlético-GO,43.91788282735972
13,Bahia,43.42734747116941
14,Cuiabá,42.42367626358383
15,Grêmio,42.311975328284895
16,Juventude,39.18088386956593
17,América-MG,37.10523370435939
18,Sport,36.96556614849291
19,Chapecoense,28.95706845972018
