,clube,Média Geral,Ranking Geral,Média Mandante,Ranking Mandantes,Média Visitante,Ranking Visitantes
0,Palmeiras,70.02000000000002,1,59.89333333333334,4,57.6,3
1,Fortaleza,64.27333333333334,2,67.38333333333334,1,44.74666666666667,7
2,Flamengo,63.82999999999999,3,60.02,3,73.0375,1
3,Bragantino,55.089999999999996,4,50.72666666666666,6,69.47166666666665,2
4,Atlético-MG,54.89166666666667,5,52.14399999999999,5,52.546666666666674,4
5,Ceará,49.78333333333333,6,43.146666666666675,9,39.62,13
6,São Paulo,44.22,7,46.330000000000005,8,30.383333333333336,15
7,Corinthians,43.39833333333334,8,37.69166666666667,14,41.23666666666667,10
8,América-MG,42.565,9,41.98333333333333,10,28.046,17
9,Grêmio,42.335,10,41.919999999999995,11,29.456000000000007,16
10,Fluminense,41.655,11,40.89166666666667,12,40.30833333333334,11
11,Bahia,40.32666666666666,12,33.29,16,42.303999999999995,9
12,Athlético-PR,39.72666666666667,13,49.724,7,48.61,5
13,Internacional,39.328333333333326,14,31.749999999999996,19,39.96333333333333,12
14,Santos,38.96333333333333,15,64.92999999999999,2,20.453333333333333,20
15,Sport,36.306666666666665,16,32.332,18,26.361666666666668,18
16,Cuiabá,33.163333333333334,17,25.625000000000007,20,44.126666666666665,8
17,Juventude,32.416666666666664,18,39.91,13,22.451666666666668,19
18,Chapecoense,32.4,19,32.400000000000006,17,30.691666666666666,14
19,Atlético-GO,27.69,20,34.163333333333334,15,47.126,6
