,scout,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,slug,apelido,apelido_abreviado,nome,foto,status
0,{},72359,7,354,3,6,0.0,7.0,0.0,0.0,0,luiz-otavio,Luiz Otávio,L. Otávio,Luiz Otávio Anacleto Leandro,https://s.glbimg.com/es/sde/f/2020/08/31/03f318322bad08093324500b97948211_FORMATO.png,Nulo
1,"{'A': 2, 'CA': 1, 'DS': 2, 'FC': 10, 'FD': 3, 'FF': 14, 'FS': 26, 'FT': 2, 'G': 2, 'I': 6, 'PI': 34, 'PS': 1}",39148,7,282,5,7,3.5,19.92,-1.01,7.06,7,hulk,Hulk,Hulk,Givanildo Vieira de Souza,https://s.glbimg.com/es/sde/f/2021/04/23/d9ed7fa34aa12e4ce8768c9c2a2b4560_FORMATO.png,Provável
2,"{'CA': 1, 'DS': 8, 'FC': 8, 'FD': 1, 'FF': 5, 'FS': 2, 'G': 2, 'I': 1, 'PI': 16}",87470,7,265,4,7,0.3,14.34,-0.36,3.15,7,thaciano,Thaciano,Thaciano,Thaciano Mickael da Silva,https://s.glbimg.com/es/sde/f/2021/04/17/5c87b3b06bc58a1fefb780c26b843076_FORMATO.png,Provável
3,"{'CA': 1, 'DS': 5, 'FC': 19, 'FD': 1, 'FF': 2, 'FS': 13, 'FT': 1, 'G': 1, 'I': 2, 'PI': 35}",80076,7,373,5,7,-1.7,8.34,-0.65,1.55,6,ze-roberto,Zé Roberto,Z. Roberto,José Roberto Assunção de Araújo Filho,https://s.glbimg.com/es/sde/f/2021/04/20/c2fbbd910eaadd1b3c8bebd0f5fc57bb_FORMATO.png,Provável
4,"{'DS': 19, 'FC': 1, 'FD': 1, 'FF': 1, 'FS': 2, 'PI': 29, 'SG': 2}",97867,7,280,3,6,13.5,10.08,2.38,4.77,6,leo-ortiz,Léo Ortiz,L. Ortiz,Leonardo Rech Ortiz,https://s.glbimg.com/es/sde/f/2020/07/28/090452058da707cf73facf6249235bfb_FORMATO.png,Nulo
5,"{'DS': 1, 'FC': 1, 'FF': 1, 'FS': 2, 'PI': 26}",68808,7,265,2,7,1.4,6.67,0.28,-0.15,2,nino-paraiba,Nino Paraíba,N. Paraíba,Severino do Ramo Clementino da Silva,https://s.glbimg.com/es/sde/f/2021/04/19/ca9f764ab6737639cb0b1773cb5cbc1c_FORMATO.png,Provável
6,"{'A': 1, 'DS': 4, 'FC': 7, 'FD': 5, 'FF': 2, 'FS': 10, 'I': 1, 'PI': 45}",61033,7,265,4,7,7.8,5.7,1.38,2.18,6,rodriguinho,Rodriguinho,Rodriguinho,Rodrigo Eduardo Costa Marinho,https://s.glbimg.com/es/sde/f/2021/04/19/d6687890f987db8ea2113e45c58584f1_FORMATO.png,Provável
7,{},42411,7,282,6,7,1.94,10.56,-0.19,4.02,7,cuca,Cuca,Cuca,Alexi Stival,https://s.glbimg.com/es/sde/f/2021/04/27/0ea32497ac7f6b6b22649eecca984fec_FORMATO.png,Provável
8,"{'CA': 1, 'DE': 20, 'FS': 2, 'GS': 6, 'SG': 2}",93882,7,280,1,7,7.5,8.76,1.26,3.83,6,cleiton,Cleiton,Cleiton,Cleiton Schwengber,https://s.glbimg.com/es/sde/f/2020/08/11/56999db7c665007bbfe8c1e1b0e76f8d_FORMATO.png,Provável
9,"{'A': 1, 'FF': 4, 'FS': 3, 'G': 1, 'I': 1, 'PI': 22}",71162,7,354,4,6,-0.4,12.32,-1.38,2.5,6,vina,Vina,Vina,Vinícius Goes Barbosa de Souza,https://s.glbimg.com/es/sde/f/2021/06/02/03a9bd95b9964e9fa07bbf7412a7a03c_FORMATO.png,Nulo
