,clube,P,GP,GC,SG,Fase,ranking
0,Atlético-MG,53,38,16,22,11,1
1,Flamengo,42,43,20,23,8,2
2,Palmeiras,39,37,32,5,4,3
3,Fortaleza,39,32,29,3,6,4
4,Bragantino,38,39,29,10,6,5
5,Corinthians,37,27,23,4,8,6
6,Internacional,36,31,25,6,10,7
7,Athlético-PR,33,31,31,0,9,8
8,Fluminense,32,23,25,-2,5,9
9,Atlético-GO,31,19,20,-1,5,10
10,América-MG,30,24,26,-2,9,11
11,Ceará,29,21,24,-3,5,12
12,São Paulo,28,20,25,-5,6,13
13,Santos,28,22,29,-7,5,14
14,Cuiabá,27,23,24,-1,3,15
15,Juventude,27,23,29,-6,5,16
16,Sport,26,14,21,-7,9,17
17,Bahia,26,28,38,-10,4,18
18,Grêmio,20,19,27,-8,4,19
19,Chapecoense,12,22,43,-21,2,20
