,clube,P,GP,GC,SG,Fase,ranking
0,Palmeiras,25,21,12,9,15,1
1,Bragantino,23,22,13,9,9,2
2,Atlético-MG,22,14,9,5,12,3
3,Fortaleza,21,19,9,10,10,4
4,Athlético-PR,20,19,11,8,8,5
5,Bahia,17,18,14,4,6,6
6,Fluminense,17,10,10,0,8,7
7,Flamengo,15,12,9,3,6,8
8,Ceará,15,13,12,1,7,9
9,Santos,15,13,13,0,7,10
10,Atlético-GO,15,9,9,0,5,11
11,Corinthians,14,8,8,0,6,12
12,Juventude,13,8,13,-5,7,13
13,São Paulo,11,8,11,-3,8,14
14,Internacional,11,10,16,-6,3,15
15,América-MG,9,9,16,-7,7,16
16,Sport,7,6,11,-5,3,17
17,Cuiabá,6,7,11,-4,3,18
18,Chapecoense,4,9,20,-11,1,19
19,Grêmio,3,4,12,-8,2,20
