,clube,ranking_clube,fase
0,Palmeiras,2,100.0
1,Corinthians,6,66.67
2,Bahia,15,60.0
3,Atlético-MG,1,60.0
4,Fortaleza,5,60.0
5,Flamengo,3,53.33
6,Ceará,10,53.33
7,Santos,16,46.67
8,América-MG,12,46.67
9,São Paulo,14,46.67
10,Fluminense,8,46.67
11,Bragantino,4,46.67
12,Atlético-GO,13,40.0
13,Internacional,7,33.33
14,Cuiabá,9,33.33
15,Sport,17,26.67
16,Athlético-PR,11,26.67
17,Juventude,18,20.0
18,Chapecoense,20,13.33
19,Grêmio,19,6.67
