,index,media_geral,ranking_geral,media_casa,ranking_casa,media_fora,ranking_fora
0,0,64.88402380952381,1,64.11733333333333,1,65.65071428571429,1
1,1,56.96366666666667,2,64.00666666666667,2,49.92066666666667,3
2,2,51.7388125,3,53.775625,3,49.702000000000005,4
3,10,49.43446428571428,4,45.47749999999999,11,53.39142857142856,2
4,3,46.281176470588235,5,53.02,4,39.542352941176475,10
5,5,46.11237499999999,6,48.65599999999999,6,43.568749999999994,5
6,6,44.969270833333326,7,48.49187499999999,7,41.446666666666665,7
7,8,43.25902083333334,8,46.37866666666667,9,40.139375,9
8,4,43.23892857142857,9,50.025,5,36.45285714285715,13
9,7,41.55245535714286,10,47.92928571428572,8,35.175625000000004,15
10,11,41.46711904761905,11,44.98357142857144,12,37.95066666666666,12
11,9,41.026261904761895,12,46.044666666666664,10,36.007857142857134,14
12,17,40.79780952380952,13,38.66133333333333,18,42.934285714285714,6
13,15,40.00366666666667,14,41.37466666666667,16,38.632666666666665,11
14,18,37.821666666666665,15,34.850833333333334,19,40.7925,8
15,14,36.7213125,16,41.432,15,32.010625000000005,16
16,13,35.662000000000006,17,43.81066666666667,14,27.513333333333335,19
17,16,35.29924107142857,18,40.910624999999996,17,29.687857142857148,18
18,12,35.24607142857143,19,44.855000000000004,13,25.63714285714286,20
19,19,30.282333333333337,20,29.830000000000005,20,30.73466666666667,17
