,clube,P,GP,GC,SG,Fase,ranking
0,Atlético-MG,50,35,15,20,11,1
1,Flamengo,39,40,20,20,8,2
2,Palmeiras,39,35,28,7,4,3
3,Fortaleza,39,32,26,6,6,4
4,Corinthians,37,27,22,5,9,5
5,Bragantino,35,35,27,8,3,6
6,Internacional,33,26,23,3,10,7
7,Athlético-PR,33,31,29,2,9,8
8,Fluminense,31,23,25,-2,7,9
9,Atlético-GO,30,19,20,-1,5,10
10,Ceará,29,20,21,-1,5,11
11,América-MG,29,23,25,-2,11,12
12,São Paulo,28,20,25,-5,6,13
13,Cuiabá,27,23,24,-1,6,14
14,Juventude,26,22,28,-6,4,15
15,Santos,25,21,29,-8,3,16
16,Sport,23,13,21,-8,6,17
17,Bahia,23,26,38,-12,2,18
18,Grêmio,20,19,26,-7,7,19
19,Chapecoense,12,20,38,-18,5,20
