,clube,Média Geral,Ranking Geral,Média Mandante,Ranking Mandantes,Média Visitante,Ranking Visitantes
0,Internacional,74.81833333333334,1,52.76333333333333,5,62.455000000000005,2
1,Atlético-MG,61.10999999999999,2,74.76166666666666,1,51.67499999999999,6
2,Flamengo,55.22166666666666,3,47.92166666666666,7,75.83833333333332,1
3,América-MG,55.165,4,49.91,6,43.346666666666664,7
4,Grêmio,53.02,5,57.165,3,34.87499999999999,16
5,Corinthians,48.199999999999996,6,42.434999999999995,8,42.016666666666666,9
6,Fluminense,46.74666666666667,7,42.01833333333333,9,34.63833333333333,17
7,Cuiabá,43.10833333333333,8,32.31,17,43.145,8
8,Atlético-GO,42.49,9,25.126666666666665,20,51.76166666666666,5
9,Bragantino,41.41833333333334,10,36.67333333333334,14,54.25333333333334,4
10,Ceará,40.14666666666667,11,55.218333333333334,4,41.38333333333334,11
11,São Paulo,36.763333333333335,12,39.473333333333336,10,41.54500000000001,10
12,Palmeiras,35.836666666666666,13,39.346666666666664,11,57.27333333333333,3
13,Chapecoense,35.306666666666665,14,27.745,18,35.943333333333335,14
14,Santos,34.51,15,38.51,12,35.620000000000005,15
15,Bahia,34.26,16,35.27166666666667,15,24.241666666666664,18
16,Fortaleza,30.563333333333333,17,58.255,2,39.053333333333335,13
17,Sport,30.11,18,26.873333333333324,19,40.14333333333333,12
18,Juventude,29.436666666666667,19,32.52833333333333,16,22.398333333333337,19
19,Athlético-PR,29.018333333333334,20,37.91,13,22.07166666666667,20
