,mandante,visitante,odds_mandante,odds_empate,odds_visitante
0,América-MG,Santos,2.63,3.06,2.86
1,Athletico-PR,Fortaleza,2.13,3.06,3.86
2,Corinthians,Internacional,2.6,3.03,2.93
3,Chapecoense,Bahia,3.26,3.2,2.29
4,Flamengo,Fluminense,1.71,3.67,5.06
5,Sport,Palmeiras,4.54,3.52,1.82
6,Ceará,Juventude,1.77,3.56,4.86
7,Cuiabá,Atlético-MG,5.04,3.45,1.76
8,São Paulo,Bragantino,2.47,3.11,3.04
9,Grêmio,Atlético-GO,1.8,3.65,4.54
