,clube,P
0,Atlético-MG,77.75437451040901
1,Flamengo,68.41969640421874
2,Palmeiras,61.867982781118506
3,Corinthians,58.598851988775756
4,Fortaleza,54.660096759499794
5,Bragantino,54.418262501683046
6,Fluminense,53.14306415245417
7,Ceará,50.72680417661177
8,Internacional,50.01761915132407
9,América-MG,46.82711469449611
10,Santos,45.02066386047926
11,São Paulo,44.633879685021924
12,Athlético-PR,42.99926392561501
13,Atlético-GO,41.741374002841276
14,Bahia,41.368600766563915
15,Cuiabá,41.02789386436489
16,Juventude,40.007184932941236
17,Sport,35.425852386863916
18,Grêmio,34.746183594203615
19,Chapecoense,17.463052906291175
