,clube,P,GP,GC,SG,Fase,ranking
0,Atlético-MG,59,44,20,24,10,1
1,Fortaleza,48,38,30,8,12,2
2,Flamengo,46,47,24,23,8,3
3,Palmeiras,46,40,33,7,7,4
4,Bragantino,45,43,31,12,11,5
5,Corinthians,41,30,26,4,7,6
6,Internacional,40,36,29,7,8,7
7,Fluminense,38,27,27,0,7,8
8,Atlético-GO,37,23,22,1,7,9
9,América-MG,34,27,29,-2,8,10
10,Athlético-PR,34,32,36,-4,4,11
11,Ceará,32,24,27,-3,4,12
12,São Paulo,32,22,27,-5,5,13
13,Cuiabá,31,25,26,-1,5,14
14,Bahia,31,31,38,-7,8,15
15,Santos,29,23,34,-11,5,16
16,Juventude,28,26,35,-9,2,17
17,Sport,27,15,24,-9,7,18
18,Grêmio,23,22,32,-10,4,19
19,Chapecoense,13,24,49,-25,2,20
