,clube,P,GP,GC,SG,Fase,ranking
0,Atlético-MG,71,51,21,30,12,1
1,Flamengo,62,60,27,33,13,2
2,Palmeiras,55,50,39,11,6,3
3,Corinthians,53,37,32,5,9,4
4,Fortaleza,52,41,41,0,4,5
5,Bragantino,51,49,39,10,6,6
6,Fluminense,47,32,31,1,9,7
7,Internacional,46,41,36,5,6,8
8,Ceará,45,34,31,3,10,9
9,América-MG,44,35,36,-1,7,10
10,Athlético-PR,40,37,41,-4,6,11
11,Atlético-GO,40,24,29,-5,3,12
12,Cuiabá,39,29,30,-1,5,13
13,São Paulo,39,26,33,-7,4,14
14,Santos,39,28,38,-10,7,15
15,Juventude,38,31,38,-7,9,16
16,Bahia,36,32,42,-10,4,17
17,Sport,33,21,33,-12,3,18
18,Grêmio,32,31,40,-9,9,19
19,Chapecoense,15,27,59,-32,2,20
