,clube,P,GP,GC,SG,Fase,ranking
0,Palmeiras,32,25,12,13,13,1
1,Atlético-MG,31,21,10,11,15,2
2,Fortaleza,27,22,12,10,12,3
3,Bragantino,27,25,16,9,6,4
4,Flamengo,24,25,11,14,12,5
5,Athlético-PR,23,21,15,6,4,6
6,Ceará,22,17,13,4,9,7
7,Santos,19,16,16,0,7,8
8,Atlético-GO,19,11,13,-2,6,9
9,Fluminense,17,10,12,-2,4,10
10,Corinthians,17,12,14,-2,6,11
11,Bahia,17,18,23,-5,3,12
12,Juventude,16,9,14,-5,4,13
13,Internacional,15,12,18,-6,5,14
14,Sport,14,8,11,-3,8,15
15,São Paulo,12,9,17,-8,7,16
16,América-MG,11,11,19,-8,2,17
17,Cuiabá,10,11,15,-4,6,18
18,Grêmio,7,6,14,-8,5,19
19,Chapecoense,4,11,25,-14,0,20
