,clube,P
0,Atlético-MG,66.77807043981869
1,Palmeiras,62.966814067634736
2,Flamengo,60.16983413042
3,Bragantino,58.350333509725814
4,Fortaleza,57.546618843850545
5,Corinthians,56.60441405688189
6,Athlético-PR,51.49061849217738
7,Fluminense,50.88226744331316
8,Internacional,50.40055098380172
9,São Paulo,50.172112034691814
10,Santos,48.772151385597454
11,Ceará,46.338194459230984
12,Atlético-GO,44.60021067347163
13,Bahia,43.68885613570849
14,Juventude,41.181574244498066
15,Cuiabá,40.4149200949043
16,Grêmio,39.22400102918968
17,Sport,39.010255296423416
18,América-MG,34.58981667769348
19,Chapecoense,28.017999861456612
