,mandante,visitante,odds_mandante,odds_empate,odds_visitante
0,Bragantino,Juventude,1.57,3.75,6.69
1,Atlético-MG,Palmeiras,2.25,3.32,3.31
3,Corinthians,Ceará,2.24,3.01,3.65
4,Flamengo,Sport,1.27,5.94,10.21
5,Bahia,Atlético-GO,2.06,3.32,3.76
7,Fortaleza,Santos,1.95,3.38,4.25
8,Internacional,Fluminense,1.9,3.42,4.27
9,Chapecoense,América-MG,3.08,3.26,2.37
10,Cuiabá,Grêmio,4.83,3.34,1.82
