,mandante,visitante,odds_mandante,odds_empate,odds_visitante
1,Grêmio,América-MG,1.83,3.57,4.4
2,Palmeiras,Fluminense,1.73,3.58,5.21
3,Atlético-MG,Bahia,1.64,3.75,5.54
4,Flamengo,São Paulo,1.81,3.51,4.6
5,Fortaleza,Bragantino,2.51,3.07,3.01
6,Athletico-PR,Internacional,2.4,3.06,3.19
7,Santos,Atlético-GO,1.84,3.35,4.62
8,Sport,Ceará,3.13,2.87,2.57
9,Juventude,Chapecoense,2.04,3.24,3.9
10,Cuiabá,Corinthians,3.07,2.97,2.53
