,mandante,visitante,odds_mandante,odds_empate,odds_visitante
0,Sport,Bragantino,4.13,3.33,1.97
1,Athletico-PR,São Paulo,2.47,3.19,2.95
2,Cuiabá,Bahia,2.59,2.96,3.0
3,Palmeiras,Fortaleza,1.7,3.75,5.01
4,América-MG,Fluminense,2.69,3.09,2.79
5,Juventude,Atlético-MG,5.11,3.59,1.73
6,Santos,Corinthians,2.17,3.16,3.69
7,Ceará,Atlético-GO,1.88,3.39,4.35
8,Flamengo,Internacional,1.41,4.62,8.37
9,Grêmio,Chapecoense,1.48,4.01,7.88
