,clube,P
0,Atlético-MG,74.54373259980441
1,Flamengo,67.07972008925242
2,Palmeiras,61.89450482688059
3,Corinthians,57.286137027550524
4,Bragantino,55.47874688581634
5,Fortaleza,55.07051773616627
6,Internacional,53.18961318835198
7,Fluminense,51.77966681340712
8,Ceará,50.06353341003344
9,América-MG,48.44351252802997
10,São Paulo,46.4901186647849
11,Athlético-PR,46.11489130627514
12,Santos,44.87863551469482
13,Atlético-GO,44.57743897510862
14,Cuiabá,43.06797820658383
15,Juventude,43.03155661477619
16,Bahia,41.0570030736943
17,Sport,38.03944539433204
18,Grêmio,35.97657307718332
19,Chapecoense,21.50370704350831
