,mandante,visitante,odds_mandante,odds_empate,odds_visitante
0,Sport,Bahia,2.8,3.04,2.76
1,Atlético-MG,Juventude,1.27,5.53,11.97
2,Chapecoense,Grêmio,5.56,4.03,1.6
3,Fortaleza,Palmeiras,2.71,3.23,2.69
4,Atlético-GO,Ceará,2.46,3.1,3.13
5,Internacional,Flamengo,3.16,3.48,2.28
6,Corinthians,Santos,1.83,3.39,4.95
7,Fluminense,América-MG,2.36,3.2,3.2
8,Bahia,Cuiabá,1.81,3.57,4.57
