,clube,Média Geral,Ranking Geral,Média Mandante,Ranking Mandantes,Média Visitante,Ranking Visitantes
0,Palmeiras,73.60000000000001,1,59.49,5,55.41833333333332,1
1,Flamengo,64.36333333333333,2,71.74499999999999,1,48.80166666666667,3
2,Atlético-MG,59.27333333333333,3,62.91,4,47.71,4
3,Bahia,53.19999999999999,4,55.089999999999996,7,46.4,5
4,América-MG,51.699999999999996,5,63.654999999999994,3,50.626666666666665,2
5,Santos,48.6,6,40.61666666666667,17,41.20166666666666,7
6,Fluminense,47.6,7,50.291666666666664,11,39.654999999999994,8
7,Fortaleza,46.54666666666666,8,43.25666666666666,15,37.61833333333333,10
8,Corinthians,44.49333333333333,9,54.018333333333324,8,31.33,17
9,Cuiabá,44.19833333333333,10,46.6,13,31.544999999999998,16
10,Sport,43.90833333333333,11,55.28999999999999,6,31.81833333333334,15
11,Ceará,43.79833333333334,12,53.92666666666668,9,32.654999999999994,13
12,Bragantino,39.98166666666666,13,38.728333333333325,18,37.781666666666666,9
13,Juventude,37.49333333333333,14,43.73,14,29.764999999999997,18
14,São Paulo,37.39666666666667,15,50.833333333333336,10,16.89166666666667,20
15,Internacional,36.655,16,65.145,2,35.875,12
16,Atlético-GO,36.199999999999996,17,48.055,12,32.199999999999996,14
17,Athlético-PR,36.11000000000001,18,37.92666666666668,19,44.52833333333333,6
18,Chapecoense,29.201666666666668,19,29.055000000000003,20,36.00000000000001,11
19,Grêmio,17.400000000000002,20,41.03666666666667,16,23.691666666666663,19
