,clube,Média Geral,Ranking Geral,Média Mandante,Ranking Mandantes,Média Visitante,Ranking Visitantes
0,Bragantino,64.015,1,55.0625,4,76.362,1
1,Palmeiras,58.673333333333325,2,49.77500000000001,7,54.152,3
2,Flamengo,57.32,3,61.84400000000001,2,49.53,6
3,Atlético-MG,54.10833333333333,4,55.28,3,53.498000000000005,4
4,Santos,51.053333333333335,5,64.92999999999999,1,22.824999999999996,18
5,Athlético-PR,50.96333333333333,6,49.4725,8,59.972500000000004,2
6,América-MG,45.885,7,42.48199999999999,13,31.0475,14
7,Bahia,45.598333333333336,8,42.894000000000005,12,47.7525,7
8,Fortaleza,42.91,9,54.03,5,43.833999999999996,9
9,Corinthians,40.583333333333336,10,36.372,15,40.175,10
10,Juventude,40.145,11,43.768,10,26.915000000000003,16
11,Atlético-GO,38.544999999999995,12,44.1275,9,53.345,5
12,Fluminense,36.818333333333335,13,43.6925,11,37.984,11
13,Ceará,35.346666666666664,14,39.46999999999999,14,32.347500000000004,13
14,Cuiabá,34.65333333333333,15,22.383333333333336,20,45.217499999999994,8
15,Internacional,33.96833333333333,16,25.6975,19,36.89399999999999,12
16,São Paulo,33.72833333333333,17,50.02000000000001,6,17.652,20
17,Sport,31.10666666666667,18,34.8525,16,21.162,19
18,Chapecoense,29.909999999999997,19,32.699999999999996,17,29.194,15
19,Grêmio,29.025000000000006,20,32.1375,18,25.236666666666668,17
