,index,media_geral,ranking_geral,media_casa,ranking_casa,media_fora,ranking_fora
0,2,64.94039682539682,1,59.03222222222222,3,70.84857142857143,1
1,5,56.05826388888889,2,47.01777777777777,6,65.09875,2
2,0,54.913124999999994,3,60.51624999999999,1,49.31,5
3,1,51.77894444444445,4,59.528888888888886,2,44.029,9
4,3,50.823499999999996,5,50.346999999999994,4,51.3,3
5,12,43.934999999999995,6,39.684999999999995,13,48.184999999999995,6
6,16,42.31638888888889,7,33.647777777777776,17,50.985,4
7,6,42.23166666666667,8,46.87333333333334,7,37.59,10
8,15,42.08861111111111,9,38.75222222222222,16,45.425000000000004,8
9,8,39.87041666666667,10,43.67333333333333,9,36.0675,11
10,9,39.554125,11,43.446250000000006,10,35.662,12
11,4,39.345555555555556,12,48.57000000000001,5,30.12111111111111,17
12,19,38.781597222222224,13,30.048750000000002,20,47.51444444444444,7
13,11,37.901875,14,42.58,12,33.223749999999995,14
14,10,37.379875,15,43.133750000000006,11,31.625999999999998,16
15,13,35.789388888888894,16,39.26100000000001,14,32.31777777777777,15
16,7,34.94269841269841,17,43.81111111111111,8,26.074285714285715,19
17,17,32.914,18,32.589999999999996,18,33.238,13
18,14,31.840125,19,39.219,15,24.46125,20
19,18,30.789055555555553,20,31.491111111111106,19,30.087,18
